"probeID" "Entrez"
"1007_s_at" "1007_s_at" "DDR1"
"1053_at" "1053_at" "RFC2"
"117_at" "117_at" "HSPA6"
"121_at" "121_at" "PAX8"
"1255_g_at" "1255_g_at" "GUCA1A"
"1294_at" "1294_at" "UBA7"
"1316_at" "1316_at" "THRA"
"1320_at" "1320_at" "PTPN21"
"1405_i_at" "1405_i_at" "CCL5"
"1431_at" "1431_at" "CYP2E1"
"1438_at" "1438_at" "EPHB3"
"1487_at" "1487_at" "ESRRA"
"1494_f_at" "1494_f_at" "CYP2A6"
"1552256_a_at" "1552256_a_at" "SCARB1"
"1552257_a_at" "1552257_a_at" "TTLL12"
"1552258_at" "1552258_at" "NCRNA00152"
"1552261_at" "1552261_at" "WFDC2"
"1552263_at" "1552263_at" "MAPK1"
"1552264_a_at" "1552264_a_at" "MAPK1"
"1552266_at" "1552266_at" "ADAM32"
"1552269_at" "1552269_at" "SPATA17"
"1552271_at" "1552271_at" "PRR22"
"1552272_a_at" "1552272_a_at" "PRR22"
"1552274_at" "1552274_at" "PXK"
"1552275_s_at" "1552275_s_at" "PXK"
"1552276_a_at" "1552276_a_at" "VPS18"
"1552277_a_at" "1552277_a_at" "C9orf30"
"1552278_a_at" "1552278_a_at" "SLC46A1"
"1552279_a_at" "1552279_a_at" "SLC46A1"
"1552280_at" "1552280_at" "TIMD4"
"1552281_at" "1552281_at" "SLC39A5"
"1552283_s_at" "1552283_s_at" "ZDHHC11"
"1552286_at" "1552286_at" "ATP6V1E2"
"1552287_s_at" "1552287_s_at" "AFG3L1"
"1552288_at" "1552288_at" "CILP2"
"1552289_a_at" "1552289_a_at" "CILP2"
"1552291_at" "1552291_at" "PIGX"
"1552293_at" "1552293_at" "TMEM196"
"1552295_a_at" "1552295_a_at" "SLC39A13"
"1552296_at" "1552296_at" "BEST4"
"1552299_at" "1552299_at" "AKD1"
"1552301_a_at" "1552301_a_at" "CORO6"
"1552302_at" "1552302_at" "TMEM106A"
"1552303_a_at" "1552303_a_at" "TMEM106A"
"1552304_at" "1552304_at" "ALG10"
"1552306_at" "1552306_at" "ALG10"
"1552307_a_at" "1552307_a_at" "TTC39C"
"1552309_a_at" "1552309_a_at" "NEXN"
"1552310_at" "1552310_at" "C15orf40"
"1552311_a_at" "1552311_a_at" "RAX2"
"1552312_a_at" "1552312_a_at" "MFAP3"
"1552314_a_at" "1552314_a_at" "EYA3"
"1552315_at" "1552315_at" "GIMAP1"
"1552316_a_at" "1552316_a_at" "GIMAP1"
"1552318_at" "1552318_at" "GIMAP1"
"1552319_a_at" "1552319_a_at" "KLK8"
"1552320_a_at" "1552320_a_at" "CCDC65"
"1552321_a_at" "1552321_a_at" "CCDC65"
"1552322_at" "1552322_at" "FAM122C"
"1552323_s_at" "1552323_s_at" "FAM122C"
"1552325_at" "1552325_at" "CCDC11"
"1552326_a_at" "1552326_a_at" "CCDC11"
"1552327_at" "1552327_at" NA
"1552329_at" "1552329_at" "RBBP6"
"1552330_at" "1552330_at" "CENPBD1"
"1552332_at" "1552332_at" "TRIOBP"
"1552334_at" "1552334_at" "TRIOBP"
"1552335_at" "1552335_at" "CATSPER1"
"1552337_s_at" "1552337_s_at" "HOXD4"
"1552338_at" "1552338_at" "GSC"
"1552340_at" "1552340_at" "SP7"
"1552343_s_at" "1552343_s_at" "PDE7A"
"1552344_s_at" "1552344_s_at" "CNOT7"
"1552347_at" "1552347_at" "CRYZL1"
"1552348_at" "1552348_at" "PRSS33"
"1552349_a_at" "1552349_a_at" "PRSS33"
"1552354_at" "1552354_at" "C19orf26"
"1552355_s_at" "1552355_s_at" "C19orf26"
"1552359_at" "1552359_at" "C8orf45"
"1552360_a_at" "1552360_a_at" "TIRAP"
"1552362_a_at" "1552362_a_at" "LEAP2"
"1552364_s_at" "1552364_s_at" "MSI2"
"1552365_at" "1552365_at" "SCIN"
"1552367_a_at" "1552367_a_at" "SCIN"
"1552368_at" "1552368_at" "CTCFL"
"1552370_at" "1552370_at" "C4orf33"
"1552372_at" "1552372_at" "C4orf33"
"1552373_s_at" "1552373_s_at" "C4orf33"
"1552375_at" "1552375_at" "ZNF333"
"1552377_s_at" "1552377_s_at" "FAM18B2"
"1552378_s_at" "1552378_s_at" "RDH10"
"1552379_at" "1552379_at" "RDH10"
"1552381_at" "1552381_at" "SFRS13B"
"1552383_at" "1552383_at" "FAM71A"
"1552384_a_at" "1552384_a_at" "FAM71A"
"1552386_at" "1552386_at" "GAPT"
"1552388_at" "1552388_at" "FLJ30901"
"1552389_at" "1552389_at" "C8orf47"
"1552390_a_at" "1552390_a_at" "C8orf47"
"1552391_at" "1552391_at" "C1orf65"
"1552393_at" "1552393_at" "ENTHD1"
"1552394_a_at" "1552394_a_at" "ENTHD1"
"1552395_at" "1552395_at" "TSSK3"
"1552396_at" "1552396_at" NA
"1552398_a_at" "1552398_a_at" NA
"1552399_a_at" "1552399_a_at" "BRF1"
"1552400_a_at" "1552400_a_at" "C15orf27"
"1552401_a_at" "1552401_a_at" "C21orf41"
"1552402_at" "1552402_at" "CALML6"
"1552405_at" "1552405_at" "NLRP5"
"1552408_at" "1552408_at" "ODF4"
"1552409_a_at" "1552409_a_at" "ODF4"
"1552410_at" "1552410_at" "CLEC4F"
"1552411_at" "1552411_at" NA
"1552412_a_at" "1552412_a_at" NA
"1552414_at" "1552414_at" "WFDC9"
"1552415_a_at" "1552415_a_at" "WFDC9"
"1552417_a_at" "1552417_a_at" "NEDD1"
"1552418_at" "1552418_at" "TTLL10"
"1552419_s_at" "1552419_s_at" "TTLL10"
"1552421_a_at" "1552421_a_at" "CALR3"
"1552422_at" "1552422_at" "C10orf25"
"1552423_at" "1552423_at" "ETV3"
"1552424_at" "1552424_at" "KLHL10"
"1552425_a_at" "1552425_a_at" "KLHL10"
"1552426_a_at" "1552426_a_at" "TM2D3"
"1552427_at" "1552427_at" "ZNF485"
"1552430_at" "1552430_at" "WDR17"
"1552432_at" "1552432_at" "MFSD6L"
"1552436_a_at" "1552436_a_at" "CDH23"
"1552438_a_at" "1552438_a_at" "ANKAR"
"1552439_s_at" "1552439_s_at" "MEGF11"
"1552440_at" "1552440_at" "GPR182"
"1552445_a_at" "1552445_a_at" "ESX1"
"1552448_a_at" "1552448_a_at" "C8orf12"
"1552449_a_at" "1552449_a_at" "SCGB1C1"
"1552450_a_at" "1552450_a_at" "DNAJC5G"
"1552452_at" "1552452_at" "WDR88"
"1552453_a_at" "1552453_a_at" "WDR88"
"1552455_at" "1552455_at" "PRUNE2"
"1552456_a_at" "1552456_a_at" "MBD3L2"
"1552457_a_at" "1552457_a_at" "ADAMTSL1"
"1552458_at" "1552458_at" "MBD3L1"
"1552459_a_at" "1552459_a_at" "MBD3L1"
"1552461_at" "1552461_at" "FAM46D"
"1552463_at" "1552463_at" "SERPINB11"
"1552466_x_at" "1552466_x_at" "NCRNA00161"
"1552467_at" "1552467_at" "DSCR10"
"1552468_a_at" "1552468_a_at" "DSCR10"
"1552470_a_at" "1552470_a_at" "ABHD11"
"1552472_a_at" "1552472_a_at" "ACAP2"
"1552473_at" "1552473_at" "GAMT"
"1552474_a_at" "1552474_a_at" "GAMT"
"1552476_s_at" "1552476_s_at" "PLCD3"
"1552477_a_at" "1552477_a_at" "IRF6"
"1552478_a_at" "1552478_a_at" "IRF6"
"1552480_s_at" "1552480_s_at" "PTPRC"
"1552481_s_at" "1552481_s_at" "MAN1A2"
"1552482_at" "1552482_at" "RAPH1"
"1552484_at" "1552484_at" "SMCR8"
"1552485_at" "1552485_at" "LACTB"
"1552486_s_at" "1552486_s_at" "LACTB"
"1552487_a_at" "1552487_a_at" "BNC1"
"1552489_s_at" "1552489_s_at" "MPP4"
"1552490_at" "1552490_at" "LACE1"
"1552491_at" "1552491_at" "IDI2"
"1552493_s_at" "1552493_s_at" "CYP11B1"
"1552494_at" "1552494_at" "TAF8"
"1552496_a_at" "1552496_a_at" "COBL"
"1552497_a_at" "1552497_a_at" "SLAMF6"
"1552498_at" "1552498_at" "ZSCAN20"
"1552499_a_at" "1552499_a_at" "ZSCAN20"
"1552501_a_at" "1552501_a_at" "GPBAR1"
"1552502_s_at" "1552502_s_at" "RHBDL2"
"1552503_at" "1552503_at" "FRAS1"
"1552504_a_at" "1552504_a_at" "BRSK1"
"1552506_at" "1552506_at" "CRB2"
"1552507_at" "1552507_at" "KCNE4"
"1552508_at" "1552508_at" "KCNE4"
"1552509_a_at" "1552509_a_at" "CD300LG"
"1552510_at" "1552510_at" "SLC34A3"
"1552511_a_at" "1552511_a_at" "CPA6"
"1552514_at" "1552514_at" "WBP2NL"
"1552515_at" "1552515_at" "HIPK1"
"1552516_a_at" "1552516_a_at" "HIPK1"
"1552518_s_at" "1552518_s_at" "MTBP"
"1552519_at" "1552519_at" "ACVR1C"
"1552520_at" "1552520_at" "TMEM74"
"1552521_a_at" "1552521_a_at" "TMEM74"
"1552522_at" "1552522_at" "TIGD4"
"1552523_a_at" "1552523_a_at" "TIGD4"
"1552524_at" "1552524_at" "ART5"
"1552526_at" "1552526_at" "FAM71C"
"1552528_at" "1552528_at" "C21orf67"
"1552531_a_at" "1552531_a_at" "NLRP11"
"1552532_a_at" "1552532_a_at" "ATP6V1C2"
"1552535_at" "1552535_at" "CLDN19"
"1552536_at" "1552536_at" "VTI1A"
"1552538_a_at" "1552538_a_at" "KIF6"
"1552540_s_at" "1552540_s_at" "IQCD"
"1552541_at" "1552541_at" "TAGAP"
"1552542_s_at" "1552542_s_at" "TAGAP"
"1552543_a_at" "1552543_a_at" "STON2"
"1552544_at" "1552544_at" "SERPINA12"
"1552546_a_at" "1552546_a_at" "LETM2"
"1552548_at" "1552548_at" "BSND"
"1552549_a_at" "1552549_a_at" "BSND"
"1552552_s_at" "1552552_s_at" "CLEC4C"
"1552553_a_at" "1552553_a_at" "NLRC4"
"1552554_a_at" "1552554_a_at" "NLRC4"
"1552555_at" "1552555_at" "PRSS36"
"1552557_a_at" "1552557_a_at" "ZDHHC15"
"1552558_a_at" "1552558_a_at" "RAI1"
"1552559_a_at" "1552559_a_at" "CDK15"
"1552562_at" "1552562_at" "ZNF570"
"1552563_a_at" "1552563_a_at" NA
"1552564_at" "1552564_at" "NUDT9P1"
"1552566_at" "1552566_at" "BTBD16"
"1552568_at" "1552568_at" "RTP3"
"1552569_a_at" "1552569_a_at" "RTP3"
"1552570_at" "1552570_at" "C21orf29"
"1552572_a_at" "1552572_a_at" "MIPOL1"
"1552573_s_at" "1552573_s_at" "MIPOL1"
"1552575_a_at" "1552575_a_at" "C6orf141"
"1552576_at" "1552576_at" "ALMS1P"
"1552578_a_at" "1552578_a_at" "MYO3B"
"1552579_a_at" "1552579_a_at" "ADAM21"
"1552580_at" "1552580_at" "TRIML2"
"1552582_at" "1552582_at" "ABCC13"
"1552583_s_at" "1552583_s_at" "ABCC13"
"1552584_at" "1552584_at" "IL12RB1"
"1552585_s_at" "1552585_s_at" "GTF2A1L"
"1552586_at" "1552586_at" "TRPV3"
"1552587_at" "1552587_at" "CNBD1"
"1552588_a_at" "1552588_a_at" "CNBD1"
"1552590_a_at" "1552590_a_at" "ABCC12"
"1552592_at" "1552592_at" "MMP21"
"1552594_at" "1552594_at" "TMEM190"
"1552596_at" "1552596_at" "GAS2L2"
"1552598_at" "1552598_at" "KCNG4"
"1552599_at" "1552599_at" "PXT1"
"1552602_at" "1552602_at" "CACNG5"
"1552604_at" "1552604_at" "C21orf74"
"1552605_s_at" "1552605_s_at" "C21orf74"
"1552607_at" "1552607_at" "NCRNA00204"
"1552608_at" "1552608_at" "WFDC11"
"1552609_s_at" "1552609_s_at" NA
"1552610_a_at" "1552610_a_at" "JAK1"
"1552611_a_at" "1552611_a_at" "JAK1"
"1552612_at" "1552612_at" "CDC42SE2"
"1552613_s_at" "1552613_s_at" "CDC42SE2"
"1552615_at" "1552615_at" "ACACB"
"1552616_a_at" "1552616_a_at" "ACACB"
"1552617_a_at" "1552617_a_at" "RFWD2"
"1552618_at" "1552618_at" "STX6"
"1552619_a_at" "1552619_a_at" "ANLN"
"1552620_at" "1552620_at" "SPRR4"
"1552621_at" "1552621_at" NA
"1552622_s_at" "1552622_s_at" NA
"1552623_at" "1552623_at" "HSH2D"
"1552625_a_at" "1552625_a_at" "TRNT1"
"1552626_a_at" "1552626_a_at" "TMEM163"
