"probeID" "Entrez"
"1" "1" ""
"2" "2" ""
"3" "3" ""
"4" "4" ""
"5" "5" ""
"6" "6" ""
"7" "7" ""
"8" "8" ""
"9" "9" ""
"10" "10" ""
"11" "11" ""
"12" "12" "APOBEC3B"
"13" "13" "ADAR"
"14" "14" "ATP11B"
"15" "15" "LOC100132006"
"16" "16" "DNAJA1"
"17" "17" ""
"18" "18" "EHMT2"
"19" "19" "RPL23"
"20" "20" "FAM102A"
"21" "21" ""
"22" "22" "RPS13"
"23" "23" "ZNF440"
"24" "24" "HDDC3"
"25" "25" "PRNP"
"26" "26" "GMDS-AS1"
"27" "27" "LINC00342"
"28" "28" ""
"29" "29" "KIAA0101"
"30" "30" "ITPRIPL2"
"31" "31" "MEGF11"
"32" "32" "APBA3"
"33" "33" "CRCP"
"34" "34" "CATSPERG"
"35" "35" "KBTBD4"
"36" "36" "SLED1"
"37" "37" "LRP1"
"38" "38" "TSC1"
"39" "39" ""
"40" "40" ""
"41" "41" "ADORA3"
"42" "42" "GOLGA3"
"43" "43" ""
"44" "44" "CDH6"
"45" "45" "CD99L2"
"46" "46" "FAM204A"
"47" "47" "SMG7"
"48" "48" ""
"49" "49" "MSANTD3"
"50" "50" "CXorf57"
"51" "51" ""
"52" "52" "VASH1"
"53" "53" "SRF"
"54" "54" ""
"55" "55" ""
"56" "56" "BBX"
"57" "57" "SLC7A1"
"58" "58" ""
"59" "59" ""
"60" "60" "ELP6"
"61" "61" "YWHAZ"
"62" "62" "MAB21L2"
"63" "63" "ZCCHC18"
"64" "64" "EPHA2"
"65" "65" "SYT2"
"66" "66" "TMEM97"
"67" "67" "SLC22A23"
"68" "68" ""
"69" "69" "SET"
"70" "70" "DESI1"
"71" "71" "SP5"
"72" "72" "IFNG"
"73" "73" "ID1"
"74" "74" ""
"75" "75" ""
"76" "76" ""
"77" "77" ""
"78" "78" ""
"79" "79" ""
"80" "80" ""
"81" "81" ""
"82" "82" ""
"83" "83" ""
"84" "84" ""
"85" "85" ""
"86" "86" ""
"87" "87" ""
"88" "88" ""
"89" "89" ""
"90" "90" ""
"91" "91" ""
"92" "92" ""
"93" "93" ""
"94" "94" ""
"95" "95" ""
"96" "96" "ICA1"
"97" "97" "SAMD9L"
"98" "98" ""
"99" "99" "OR8D1"
"100" "100" "BOK"
"101" "101" ""
"102" "102" "C6orf120"
"103" "103" "NLE1"
"104" "104" "RRM1"
"105" "105" ""
"106" "106" "UBE2K"
"107" "107" ""
"108" "108" "C1orf115"
"109" "109" "HSPD1"
"110" "110" ""
"111" "111" "ATP6V1C2"
"112" "112" "CASC15"
"113" "113" "NRL"
"114" "114" "BRD3"
"115" "115" "COX18"
"116" "116" "TSHR"
"117" "117" ""
"118" "118" "OR12D2"
"119" "119" "LRP10"
"120" "120" "PRRG2"
"121" "121" "SLC8A3"
"122" "122" "GJB2"
"123" "123" ""
"124" "124" ""
"125" "125" "PRR30"
"126" "126" "ORMDL3"
"127" "127" "FAM134A"
"128" "128" ""
"129" "129" "TUT1"
"130" "130" "POTEC"
"131" "131" ""
"132" "132" "SERPINB5"
"133" "133" "ASPA"
"134" "134" "ATP8B1"
"135" "135" ""
"136" "136" "CYP2E1"
"137" "137" ""
"138" "138" "UBE2I"
"139" "139" "DNTTIP2"
"140" "140" "ARMC12"
"141" "141" ""
"142" "142" "GATAD2A"
"143" "143" "ZYG11B"
"144" "144" "RPL18"
"145" "145" "CEBPG"
"146" "146" "YARS"
"147" "147" "XXYLT1"
"148" "148" ""
"149" "149" "HLA-DRB1"
"150" "150" "GCSAML"
"151" "151" ""
"152" "152" "CFAP43"
"153" "153" "MASP1"
"154" "154" "ADRB2"
"155" "155" "RHOF"
"156" "156" "C5orf24"
"157" "157" "CNOT8"
"158" "158" ""
"159" "159" "ZNF300"
"160" "160" ""
"161" "161" ""
"162" "162" ""
"163" "163" ""
"164" "164" ""
"165" "165" ""
"166" "166" ""
"167" "167" ""
"168" "168" ""
"169" "169" ""
"170" "170" ""
"171" "171" ""
"172" "172" ""
"173" "173" ""
"174" "174" ""
"175" "175" ""
"176" "176" ""
"177" "177" ""
"178" "178" ""
"179" "179" ""
"180" "180" ""
"181" "181" "PRKAA2"
"182" "182" "OBP2A"
"183" "183" ""
"184" "184" "ATG5"
"185" "185" "CCNA1"
"186" "186" ""
"187" "187" ""
"188" "188" "SERP1"
"189" "189" "MAOB"
"190" "190" "CASD1"
"191" "191" "FASLG"
"192" "192" "WAPAL"
