"probeID" "Entrez"
"1710221" "1710221" "LOC23117"
"5900364" "5900364" NA
"2480717" "2480717" "FCGR2B"
"1300239" "1300239" "TRIM44"
"4480719" "4480719" "LOC653895"
"6020725" "6020725" "DGAT2L3"
"3870215" "3870215" "LOC387701"
"2710020" "2710020" NA
"870110" "870110" "C15orf39"
"290020" "290020" NA
"7510243" "7510243" "PCDHGA9"
"4180259" "4180259" "PCDHGA9"
"7150059" "7150059" "STAMBPL1"
"2470450" "2470450" NA
"1470398" "1470398" NA
"2260747" "2260747" NA
"5340180" "5340180" "STH"
"6110274" "6110274" "LOC342979"
"2570463" "2570463" "LOC728492"
"1190064" "1190064" "UGT2B7"
"5420450" "5420450" "UGT2B7"
"6020544" "6020544" "CLEC12A"
"7570154" "7570154" NA
"4150010" "4150010" "LOC648054"
"1400546" "1400546" "SCYL1BP1"
"830441" "830441" "SCYL1BP1"
"4230026" "4230026" "RGNEF"
"650102" "650102" "RGNEF"
"3360368" "3360368" "LOC643426"
"3130152" "3130152" NA
"2100176" "2100176" "C1orf103"
"4230136" "4230136" "TCP1"
"7160367" "7160367" NA
"4260551" "4260551" "AIFM3"
"4780731" "4780731" NA
"6650692" "6650692" "ISOC2"
"6650189" "6650189" "PEX5"
"3780097" "3780097" NA
"5080746" "5080746" "FLJ20718"
"6660333" "6660333" "ORC1L"
"6180280" "6180280" "LOC389405"
"4810470" "4810470" NA
"2360681" "2360681" NA
"7320189" "7320189" NA
"1500307" "1500307" "SNX13"
"5960372" "5960372" NA
"1850044" "1850044" NA
"2480719" "2480719" "NSMCE2"
"2570411" "2570411" NA
"2480672" "2480672" NA
"2630356" "2630356" "TUBGCP2"
"6420520" "6420520" "CD40"
"2640750" "2640750" "LOC648628"
"6400477" "6400477" NA
"650553" "650553" "BIN1"
"4780195" "4780195" NA
"4250544" "4250544" "BTBD10"
"7320187" "7320187" "DCTN3"
"4760255" "4760255" "ARHGDIA"
"3710372" "3710372" NA
"4760674" "4760674" "NEK1"
"4730168" "4730168" "SARS2"
"3310608" "3310608" "LOC650339"
"6940338" "6940338" "LRRC48"
"6180112" "6180112" "LOC648993"
"6960706" "6960706" "LOC647543"
"540717" "540717" "LONP1"
"1030609" "1030609" "LOC647083"
"50475" "50475" "SLU7"
"4900209" "4900209" "TIMM9"
"2650040" "2650040" "NOMO1"
"3310056" "3310056" "NOMO1"
"1430450" "1430450" "NOMO1"
"6520037" "6520037" NA
"5570068" "5570068" "KCNN3"
"1570184" "1570184" "KCNN3"
"7400692" "7400692" NA
"5130397" "5130397" NA
"520431" "520431" "PJA2"
"4560520" "4560520" "PLGLA1"
"6510553" "6510553" "ARID3A"
"5960196" "5960196" "MOGAT1"
"3360129" "3360129" NA
"4850010" "4850010" NA
"6270445" "6270445" "SLC6A15"
"290685" "290685" "SLC6A15"
"4920193" "4920193" "RPL27A"
"1340112" "1340112" NA
"1740731" "1740731" "C4orf28"
"5860608" "5860608" "LOC400948"
"3140332" "3140332" "LOC653352"
"2630524" "2630524" NA
"1580446" "1580446" "PDLIM7"
"770639" "770639" "PDLIM7"
"3940192" "3940192" NA
"7100544" "7100544" NA
"6860427" "6860427" "CST6"
"4010491" "4010491" "CST6"
"6380242" "6380242" "TNFSF11"
"6250326" "6250326" "KRTAP13-1"
"5890162" "5890162" "C10orf68"
"5960259" "5960259" NA
"3450367" "3450367" NA
"1980014" "1980014" "RNF6"
"20717" "20717" "TEAD3"
"940221" "940221" "LSM11"
"1240482" "1240482" "LAGE3"
"4060280" "4060280" "TRMT6"
"3190482" "3190482" "LOC647785"
"3520092" "3520092" "BAX"
"3290037" "3290037" "DNAJC7"
"240040" "240040" "PARP8"
"450762" "450762" "FCGR2A"
"6860039" "6860039" "UMODL1"
"1300619" "1300619" "LOC647456"
"4070397" "4070397" "TRIM41"
"6350128" "6350128" "OGFOD2"
"1780253" "1780253" "LOC374491"
"5220601" "5220601" "LOC374491"
"3170537" "3170537" NA
"5390575" "5390575" "CUGBP2"
"1580040" "1580040" "LOC644623"
"4850717" "4850717" "LOC644623"
"5420039" "5420039" "LOC644623"
"4220309" "4220309" "LOC644623"
"1980551" "1980551" NA
"1340026" "1340026" "TMEM144"
"6330523" "6330523" "POU5F2"
"840246" "840246" NA
"770605" "770605" "ZNF280D"
"5360538" "5360538" "LOC643576"
"7320707" "7320707" "LOC654103"
"5690639" "5690639" "FBLN5"
"4670441" "4670441" "FBLN5"
"7160433" "7160433" "UBN1"
"3870274" "3870274" "UBN1"
"1240537" "1240537" NA
"6900647" "6900647" NA
"780678" "780678" "ADAMTSL4"
"10286" "10286" "ADAMTSL4"
"1260537" "1260537" NA
"1770142" "1770142" "DNAJC2"
"3850537" "3850537" NA
"6560703" "6560703" "FLJ35894"
"510128" "510128" "SLC9A9"
"7150300" "7150300" NA
"780026" "780026" NA
"3450296" "3450296" NA
"6860053" "6860053" "LOC643563"
"580367" "580367" NA
"3170619" "3170619" "LOC731283"
