"Ensembl" "Entrez"
"1" "ENSG00000223972" "DDX11L1"
"13" "ENSG00000227232" "WASH7P"
"26" "ENSG00000278267" "MIR6859-1"
"29" "ENSG00000243485" "MIR1302-2"
"39" "ENSG00000237613" "FAM138A"
"47" "ENSG00000268020" "OR4G4P"
"50" "ENSG00000240361" "OR4G11P"
"53" "ENSG00000186092" "OR4F5"
"59" "ENSG00000238009" "RP11-34P13.7"
"82" "ENSG00000239945" "RP11-34P13.8"
"86" "ENSG00000233750" "CICP27"
"89" "ENSG00000268903" "RP11-34P13.15"
"92" "ENSG00000269981" "RP11-34P13.16"
"95" "ENSG00000239906" "RP11-34P13.14"
"99" "ENSG00000241860" "RP11-34P13.13"
"120" "ENSG00000222623" "RNU6-1100P"
"123" "ENSG00000241599" "RP11-34P13.9"
"127" "ENSG00000279928" "FO538757.2"
"138" "ENSG00000279457" "FO538757.1"
"223" "ENSG00000273874" "MIR6859-2"
"226" "ENSG00000228463" "AP006222.2"
"246" "ENSG00000241670" "RPL23AP21"
"249" "ENSG00000236679" "RPL23AP24"
"252" "ENSG00000236743" "RP5-857K21.15"
"257" "ENSG00000236601" "RP4-669L17.2"
"267" "ENSG00000237094" "RP4-669L17.10"
"333" "ENSG00000269732" "WBP1LP7"
"336" "ENSG00000278566" "OR4F29"
"342" "ENSG00000224813" "SEPT14P13"
"345" "ENSG00000233653" "CICP7"
"349" "ENSG00000250575" "RP4-669L17.8"
"353" "ENSG00000278757" "U6"
"356" "ENSG00000230021" "RP5-857K21.4"
"412" "ENSG00000235146" "RP5-857K21.2"
"419" "ENSG00000225972" "MTND1P23"
"422" "ENSG00000225630" "MTND2P28"
"425" "ENSG00000237973" "MTCO1P12"
"428" "ENSG00000278791" "MIR6723"
"431" "ENSG00000229344" "MTCO2P12"
"434" "ENSG00000240409" "MTATP8P1"
"437" "ENSG00000248527" "MTATP6P1"
"440" "ENSG00000198744" "MTCO3P12"
"443" "ENSG00000268663" "WBP1LP6"
"446" "ENSG00000273547" "OR4F16"
"452" "ENSG00000283574" "RP11-206L10.17"
"455" "ENSG00000229376" "CICP3"
"459" "ENSG00000228327" "RP11-206L10.2"
"483" "ENSG00000223181" "RNU6-1199P"
"486" "ENSG00000229905" "RP11-206L10.4"
"490" "ENSG00000237491" "RP11-206L10.9"
"572" "ENSG00000230092" "RP11-206L10.8"
"583" "ENSG00000177757" "FAM87B"
"587" "ENSG00000228794" "LINC01128"
"665" "ENSG00000225880" "LINC00115"
"668" "ENSG00000230368" "FAM41C"
"682" "ENSG00000234711" "TUBB8P11"
"685" "ENSG00000283040" "FAM166AP3"
"692" "ENSG00000272438" "RP11-54O7.16"
"696" "ENSG00000230699" "RP11-54O7.1"
"700" "ENSG00000241180" "RP11-54O7.2"
"704" "ENSG00000223764" "RP11-54O7.3"
"715" "ENSG00000187634" "SAMD11"
"1072" "ENSG00000188976" "NOC2L"
"1154" "ENSG00000187961" "KLHL17"
"1228" "ENSG00000187583" "PLEKHN1"
"1353" "ENSG00000187642" "PERM1"
"1382" "ENSG00000272512" "RP11-54O7.17"
"1385" "ENSG00000188290" "HES4"
"1424" "ENSG00000187608" "ISG15"
"1454" "ENSG00000231702" "RP11-54O7.10"
"1457" "ENSG00000224969" "RP11-54O7.11"
"1461" "ENSG00000188157" "AGRN"
"1668" "ENSG00000242590" "RP11-54O7.14"
"1672" "ENSG00000217801" "RP11-465B22.3"
"1702" "ENSG00000273443" "RP11-54O7.18"
"1706" "ENSG00000237330" "RNF223"
"1716" "ENSG00000131591" "C1orf159"
"2035" "ENSG00000223823" "LINC01342"
"2040" "ENSG00000207730" "MIR200B"
"2043" "ENSG00000207607" "MIR200A"
"2046" "ENSG00000198976" "MIR429"
