"probeID" "start" "CIGAR" "Ensembl"
"229" 229 38300423 "60M" "ENSG00000157551"
"795" 795 29345659 "60M" "ENSG00000156273"
"1135" 1135 40384865 "60M" "ENSG00000235123"
"1412" 1412 14961583 "60M" "ENSG00000180530"
"1449" 1449 14108959 "60M" "ENSG00000188992"
"1461" 1461 43984466 "60M" "ENSG00000160216"
"1494" 1494 36487551 "60M" "ENSG00000279365"
"1500" 1500 43693373 "60M" "ENSG00000160208"
"75" 1552 68887765 "18M1I41M" "ENSG00000072110"
"76" 1552 182942083 "18M1I41M" "ENSG00000224040"
"77" 1552 154817079 "18M1I41M" "ENSG00000229237"
"78" 1552 58018769 "18M1I41M" "ENSG00000235028"
"79" 1552 97827512 "60M" "ENSG00000235734"
"80" 1552 93988612 "16M1I43M" "ENSG00000239614"
"81" 1552 62510733 "40M1I19M" "ENSG00000248336"
"82" 1552 92712072 "60M" "ENSG00000253954"
"83" 1552 60851707 "40M1I19M" "ENSG00000254114"
"84" 1552 68887765 "18M1I41M" "ENSG00000258967"
"1774" 1774 29175038 "60M" "ENSG00000156265"
"2032" 2032 34183079 "60M" "ENSG00000227456"
"2151" 2151 37223729 "60M" "ENSG00000157538"
"2224" 2224 32003537 "60M" "ENSG00000142149"
"2343" 2343 16607026 "60M" "ENSG00000215386"
"2353" 2353 37018456 "60M" "ENSG00000183145"
"2441" 2441 46541829 "60M" "ENSG00000160305"
"2840" 2840 32793789 "60M" "ENSG00000205929"
"2874" 2874 34142927 "60M" "ENSG00000243927"
"2924" 2924 43359053 "60M" "ENSG00000237989"
"2925" 2925 44886011 "60M" "ENSG00000160255"
"2988" 2988 46132329 "60M" "ENSG00000142173"
"3099" 3099 34717854 "60M" "ENSG00000159212"
"3407" 3407 44934966 "60M" "ENSG00000183250"
"3455" 3455 46445477 "60M" "ENSG00000160299"
"3560" 3560 45296419 "60M" "ENSG00000223768"
"3723" 3723 32629517 "60M" "ENSG00000159082"
"3992" 3992 44849961 "60M" "ENSG00000183255"
"4152" 4152 30592674 "60M" "ENSG00000212938"
"4328" 4328 42102481 "60M" "ENSG00000184385"
"4339" 4339 38156315 "60M" "ENSG00000198054"
"4363" 4363 45226219 "60M" "ENSG00000197381"
"4429" 4429 17793402 "60M" "ENSG00000154642"
"4484" 4484 37607412 "60M" "ENSG00000157542"
"4515" 4515 36146081 "60M" "ENSG00000159231"
"4579" 4579 39346747 "60M" "ENSG00000205581"
"4603" 4603 25897574 "60M" "ENSG00000142192"
"4712" 4712 31668577 "60M" "ENSG00000142168"
"4875" 4875 36132379 "60M" "ENSG00000236830"
"60" 4916 68448004 "60M" "ENSG00000229462"
"61" 4916 135464404 "60M" "ENSG00000271158"
"5127" 5127 31120294 "60M" "ENSG00000156299"
"5128" 5128 44886011 "60M" "ENSG00000160255"
"5302" 5302 15052257 "60M" "ENSG00000279390"
"5320" 5320 44994548 "60M" "ENSG00000261706"
"5371" 5371 44771107 "60M" "ENSG00000184787"
"5470" 5470 43758759 "60M" "ENSG00000160209"
"62" 5577 13066954 "60M" "ENSG00000224309"
"63" 5577 132132876 "60M" "ENSG00000227745"
"5629" 5629 36416660 "60M" "ENSG00000159259"
"5690" 5690 45510058 "60M" "ENSG00000182871"
"5849" 5849 27367318 "13M4D47M" "ENSG00000233300"
"6011" 6011 42362304 "60M" "ENSG00000160182"
