"probeID" "start" "CIGAR" "Ensembl"
"229" 229 38300423 "60M" "ENSG00000157551"
"406" 406 32457708 "13M9975N47M" "ENSG00000166979"
"773" 773 39342722 "60M" "ENSG00000205581"
"795" 795 29345659 "60M" "ENSG00000156273"
"825" 825 32744895 "19M660N41M" "ENSG00000159086"
"1135" 1135 40384865 "60M" "ENSG00000235123"
"1412" 1412 14961583 "60M" "ENSG00000180530"
"1449" 1449 14108959 "60M" "ENSG00000188992"
"1461" 1461 43984466 "60M" "ENSG00000160216"
"1494" 1494 36487551 "60M" "ENSG00000279365"
"1500" 1500 43693373 "60M" "ENSG00000160208"
"1552" 1552 39343091 "60M" "ENSG00000205581"
"1774" 1774 29175038 "60M" "ENSG00000156265"
"2032" 2032 34183079 "60M" "ENSG00000227456"
"2151" 2151 37223729 "60M" "ENSG00000157538"
"2224" 2224 32003537 "60M" "ENSG00000142149"
"2343" 2343 16607026 "60M" "ENSG00000215386"
"2353" 2353 37018456 "60M" "ENSG00000183145"
"2441" 2441 46541829 "60M" "ENSG00000160305"
"2623" 2623 44439136 "33M1620N27M" "ENSG00000142185"
"2807" 2807 46302565 "12M8879N48M" "ENSG00000160298"
"2822" 2822 46161671 "35M210N25M" "ENSG00000160284"
"2840" 2840 32793789 "60M" "ENSG00000205929"
"2874" 2874 34142927 "60M" "ENSG00000243927"
"2924" 2924 43359053 "60M" "ENSG00000237989"
"2925" 2925 44886011 "60M" "ENSG00000160255"
"2988" 2988 46132329 "60M" "ENSG00000142173"
"3099" 3099 34717854 "60M" "ENSG00000159212"
"3407" 3407 44934966 "60M" "ENSG00000183250"
"3455" 3455 46445477 "60M" "ENSG00000160299"
"3560" 3560 45296419 "60M" "ENSG00000223768"
"3723" 3723 32629517 "60M" "ENSG00000159082"
"3759" 3759 36292196 "38M1086N22M" "ENSG00000142197"
"3953" 3953 44223057 "60M" "ENSG00000160223"
"3992" 3992 44849961 "60M" "ENSG00000183255"
"4152" 4152 30592674 "60M" "ENSG00000212938"
"4328" 4328 42102481 "60M" "ENSG00000184385"
"4339" 4339 38156315 "60M" "ENSG00000198054"
"4363" 4363 45226219 "60M" "ENSG00000197381"
"4429" 4429 17793402 "60M" "ENSG00000154642"
"4484" 4484 37607412 "60M" "ENSG00000157542"
"4515" 4515 36146081 "60M" "ENSG00000159231"
"4579" 4579 39346747 "60M" "ENSG00000205581"
"4603" 4603 25897574 "60M" "ENSG00000142192"
"4712" 4712 31668577 "60M" "ENSG00000142168"
"4875" 4875 36132379 "60M" "ENSG00000236830"
"4916" 4916 42850150 "60M" "ENSG00000160193"
"5084" 5084 41798711 "33M1440N27M" "ENSG00000141956"
"5127" 5127 31120294 "60M" "ENSG00000156299"
"5128" 5128 44886011 "60M" "ENSG00000160255"
"5302" 5302 15052257 "60M" "ENSG00000279390"
"5320" 5320 44994548 "60M" "ENSG00000261706"
"5371" 5371 44771107 "60M" "ENSG00000184787"
"5407" 5407 10473213 "60M" "ENSG00000187172"
