"probeID" "Ensembl"
"10148" 10148 "ENSG00000232539"
"20398" 20398 "ENSG00000198862"
"20544" 20544 "ENSG00000159131"
"50280" 50280 "ENSG00000186842"
"50678" 50678 "ENSG00000160191"
"70368" 70368 "ENSG00000215386"
"70471" 70471 "ENSG00000160298"
"110270" 110270 "ENSG00000160294"
"130039.366" 130039 "ENSG00000178457"
"130039.367" 130039 "ENSG00000278923"
"130324" 130324 "ENSG00000184012"
"150315" 150315 "ENSG00000156265"
"150377" 150377 "ENSG00000183778"
"160593" 160593 "ENSG00000159055"
"240156" 240156 "ENSG00000159256"
"270053" 270053 "ENSG00000154727"
"290343" 290343 "ENSG00000182670"
"290762" 290762 "ENSG00000215559"
"360301" 360301 "ENSG00000206107"
"360725.704" 360725 "ENSG00000205445"
"380408" 380408 "ENSG00000237721"
"430338" 430338 "ENSG00000227702"
"430564" 430564 "ENSG00000177692"
"450397" 450397 "ENSG00000159110"
"460326" 460326 "ENSG00000186970"
"460593" 460593 "ENSG00000160179"
"520368" 520368 "ENSG00000188694"
"540148" 540148 "ENSG00000160183"
"610048" 610048 "ENSG00000187005"
"610156" 610156 "ENSG00000154727"
"610537" 610537 "ENSG00000185433"
"610554" 610554 "ENSG00000155313"
"610561" 610561 "ENSG00000224649"
"620064" 620064 "ENSG00000160216"
"620131" 620131 "ENSG00000241123"
"620239" 620239 "ENSG00000159200"
"620327" 620327 "ENSG00000160305"
"620482.431" 620482 "ENSG00000268531"
"650020" 650020 "ENSG00000159082"
"650110" 650110 "ENSG00000142192"
"650278.1" 650278 "ENSG00000147403"
"650278.2" 650278 "ENSG00000207165"
"650278.3" 650278 "ENSG00000200237"
"650278.4" 650278 "ENSG00000207274"
"650278.5" 650278 "ENSG00000251893"
"650278.6" 650278 "ENSG00000207098"
"650278.7" 650278 "ENSG00000206650"
"650343" 650343 "ENSG00000237138"
"650719" 650719 "ENSG00000223870"
"670309.1" 670309 "ENSG00000186925"
"780093.709" 780093 "ENSG00000205445"
"780093.710" 780093 "ENSG00000212935"
"830563" 830563 "ENSG00000160191"
"840278" 840278 "ENSG00000154721"
"840661" 840661 "ENSG00000232263"
"870161" 870161 "ENSG00000154639"
"940484" 940484 "ENSG00000160183"
"940500" 940500 "ENSG00000159261"
"990056" 990056 "ENSG00000156304"
"990435" 990435 "ENSG00000160305"
"990725.682" 990725 "ENSG00000227267"
"1010168" 1010168 "ENSG00000183527"
"1010170" 1010170 "ENSG00000156273"
"1010600" 1010600 "ENSG00000160233"
"1030068" 1030068 "ENSG00000189169"
"1030632" 1030632 "ENSG00000166265"
"1050215" 1050215 "ENSG00000157551"
"1050553" 1050553 "ENSG00000185658"
"1070010" 1070010 "ENSG00000170262"
"1090358" 1090358 "ENSG00000182816"
"1110017" 1110017 "ENSG00000159140"
"1110292" 1110292 "ENSG00000160216"
"1110349" 1110349 "ENSG00000182362"
"1170598" 1170598 "ENSG00000154646"
"1190100.108" 1190100 "ENSG00000228184"
"1190100.109" 1190100 "ENSG00000264570"
"1190100.110" 1190100 "ENSG00000120451"
"1190100.111" 1190100 "ENSG00000235500"
"1190563" 1190563 "ENSG00000244362"
"1190576" 1190576 "ENSG00000183778"
"1190735" 1190735 "ENSG00000142192"
"1230280" 1230280 "ENSG00000156239"
"1230672" 1230672 "ENSG00000160182"
"1240201" 1240201 "ENSG00000182240"
"1260370" 1260370 "ENSG00000171189"
"1300202" 1300202 "ENSG00000171587"
"1340328" 1340328 "ENSG00000198054"
"1340717" 1340717 "ENSG00000156256"
"1400315" 1400315 "ENSG00000156299"
"1410181" 1410181 "ENSG00000155307"
"1410189" 1410189 "ENSG00000156253"
"1430187" 1430187 "ENSG00000160213"
"1430484.234" 1430484 "ENSG00000186481"
"1430484.235" 1430484 "ENSG00000206192"
"1430484.237" 1430484 "ENSG00000277112"
"1430484.239" 1430484 "ENSG00000278931"
"1430605" 1430605 "ENSG00000205581"
"1450102" 1450102 "ENSG00000259397"
"1450451" 1450451 "ENSG00000142197"
"1470093" 1470093 "ENSG00000215559"
"1470392" 1470392 "ENSG00000160310"
"1470414" 1470414 "ENSG00000177398"
"1500044" 1500044 "ENSG00000155304"
"1500390" 1500390 "ENSG00000160284"
"1510014" 1510014 "ENSG00000160299"
"1510441" 1510441 "ENSG00000159263"
"1580156" 1580156 "ENSG00000231620"
"1660551" 1660551 "ENSG00000198743"
"1690066" 1690066 "ENSG00000157601"
"1710228" 1710228 "ENSG00000185808"
"1740201" 1740201 "ENSG00000279534"
"1740521" 1740521 "ENSG00000185272"
"1770039.498" 1770039 "ENSG00000228861"
"1770039.499" 1770039 "ENSG00000214914"
"1770209" 1770209 "ENSG00000186965"
"1780142" 1780142 "ENSG00000159200"
"1780360" 1780360 "ENSG00000228961"
"1820132" 1820132 "ENSG00000232560"
"1820703" 1820703 "ENSG00000185808"
"1850114" 1850114 "ENSG00000159267"
"1940220" 1940220 "ENSG00000186977"
"1980091" 1980091 "ENSG00000232692"
"1980598" 1980598 "ENSG00000205927"
"1990156" 1990156 "ENSG00000237945"
"2000093" 2000093 "ENSG00000160224"
"2030037.386" 2030037 "ENSG00000186967"
"2030403" 2030403 "ENSG00000184221"
"2060164" 2060164 "ENSG00000157617"
"2070079.113" 2070079 "ENSG00000187026"
"2070079.114" 2070079 "ENSG00000236400"
"2070220" 2070220 "ENSG00000160298"
"2100537" 2100537 "ENSG00000160199"
"2120114" 2120114 "ENSG00000157540"
"2120204" 2120204 "ENSG00000160216"
"2120289" 2120289 "ENSG00000280109"
"2140463" 2140463 "ENSG00000160190"
"2190349" 2190349 "ENSG00000157551"
"2230014" 2230014 "ENSG00000177692"
"2230731" 2230731 "ENSG00000182240"
"2260110" 2260110 "ENSG00000171189"
"2260253" 2260253 "ENSG00000156256"
"2260528" 2260528 "ENSG00000160191"
"2260594.403" 2260594 "ENSG00000243489"
"2260594.404" 2260594 "ENSG00000221837"
"2260594.405" 2260594 "ENSG00000212935"
"2320228" 2320228 "ENSG00000197381"
"2320324" 2320324 "ENSG00000159079"
"2370202" 2370202 "ENSG00000227090"
"2370347" 2370347 "ENSG00000157554"
"2370368" 2370368 "ENSG00000159140"
"2450088" 2450088 "ENSG00000154642"
"2450136" 2450136 "ENSG00000183527"
"2480095" 2480095 "ENSG00000160183"
"2480112" 2480112 "ENSG00000171587"
"2490044" 2490044 "ENSG00000159086"
"2490543" 2490543 "ENSG00000270093"
"2490605" 2490605 "ENSG00000186866"
"2490685" 2490685 "ENSG00000160305"
"2570291" 2570291 "ENSG00000159128"
"2570370" 2570370 "ENSG00000160298"
"2570703" 2570703 "ENSG00000157554"
"2570707.699" 2570707 "ENSG00000255515"
"2600180" 2600180 "ENSG00000185917"
"2600491" 2600491 "ENSG00000231068"
"2600519" 2600519 "ENSG00000160256"
"2640008" 2640008 "ENSG00000157540"
"2640079" 2640079 "ENSG00000240432"
"2640161" 2640161 "ENSG00000160310"
"2640427" 2640427 "ENSG00000206107"
"2650681" 2650681 "ENSG00000205726"
"2680360" 2680360 "ENSG00000229986"
"2680576" 2680576 "ENSG00000205622"
"2690743" 2690743 "ENSG00000156273"
"2710008" 2710008 "ENSG00000184351"
"2710470" 2710470 "ENSG00000183640"
"2710671" 2710671 "ENSG00000206106"
"2750356" 2750356 "ENSG00000142173"
"2750634" 2750634 "ENSG00000233213"
"2750750" 2750750 "ENSG00000184787"
"2760139" 2760139 "ENSG00000205726"
"2760273" 2760273 "ENSG00000237594"
"2760364" 2760364 "ENSG00000159082"
"2760382" 2760382 "ENSG00000159261"
"2850551" 2850551 "ENSG00000159200"
"2900411" 2900411 "ENSG00000279851"
"2940440.192" 2940440 "ENSG00000187172"
"2940440.194" 2940440 "ENSG00000055609"
"3060044" 3060044 "ENSG00000215447"
"3060162" 3060162 "ENSG00000159228"
"3130563" 3130563 "ENSG00000154723"
"3130711" 3130711 "ENSG00000157542"
"3140541" 3140541 "ENSG00000231236"
"3170315" 3170315 "ENSG00000205758"
"3170564" 3170564 "ENSG00000237325"
"3180653" 3180653 "ENSG00000159140"
"3190273" 3190273 "ENSG00000233316"
"3190612" 3190612 "ENSG00000279773"
"3310053" 3310053 "ENSG00000159197"
"3310110" 3310110 "ENSG00000184809"
"3310307" 3310307 "ENSG00000166979"
"3310468" 3310468 "ENSG00000205439"
"3310600" 3310600 "ENSG00000184856"
"3360148" 3360148 "ENSG00000156284"
"3370577" 3370577 "ENSG00000142192"
"3390370" 3390370 "ENSG00000182093"
"3390458" 3390458 "ENSG00000142173"
"3390494" 3390494 "ENSG00000212938"
"3390747" 3390747 "ENSG00000183570"
"3400164.1" 3400164 "ENSG00000160226"
