"probeID" "Ensembl"
"200602_at.1" "200602_at" "ENSG00000142192"
"200642_at.1" "200642_at" "ENSG00000142168"
"200677_at.1" "200677_at" "ENSG00000183255"
"200739_s_at.1" "200739_s_at" "ENSG00000184900"
"200740_s_at.45" "200740_s_at" "ENSG00000184900"
"200943_at" "200943_at" "ENSG00000205581"
"200944_s_at.1" "200944_s_at" "ENSG00000205581"
"201085_s_at.155" "201085_s_at" "ENSG00000159140"
"201086_x_at.1" "201086_x_at" "ENSG00000159140"
"201102_s_at.1" "201102_s_at" "ENSG00000141959"
"201201_at.1" "201201_at" "ENSG00000160213"
"201328_at.203" "201328_at" "ENSG00000157557"
"201329_s_at.214" "201329_s_at" "ENSG00000157557"
"201642_at.1" "201642_at" "ENSG00000159128"
"202086_at.236" "202086_at" "ENSG00000157601"
"202098_s_at.1" "202098_s_at" "ENSG00000160310"
"202245_at.258" "202245_at" "ENSG00000160285"
"202557_at.282" "202557_at" "ENSG00000155304"
"202558_s_at.293" "202558_s_at" "ENSG00000155304"
"202599_s_at.1" "202599_s_at" "ENSG00000180530"
"202600_s_at.315" "202600_s_at" "ENSG00000180530"
"202671_s_at.1" "202671_s_at" "ENSG00000160209"
"202749_at.1" "202749_at" "ENSG00000182093"
"202803_s_at.1" "202803_s_at" "ENSG00000160255"
"203405_at.1" "203405_at" "ENSG00000183527"
"203635_at.392" "203635_at" "ENSG00000157538"
"203660_s_at.403" "203660_s_at" "ENSG00000160299"
"203865_s_at.414" "203865_s_at" "ENSG00000197381"
"203917_at.1" "203917_at" "ENSG00000154639"
"203993_x_at.1" "203993_x_at" "ENSG00000184441"
"204191_at.504" "204191_at" "ENSG00000142166"
"204194_at.1" "204194_at" "ENSG00000156273"
"204195_s_at.526" "204195_s_at" "ENSG00000160199"
"204196_x_at.1" "204196_x_at" "ENSG00000160199"
"204567_s_at.548" "204567_s_at" "ENSG00000160179"
"204623_at.1" "204623_at" "ENSG00000160180"
"204775_at.1" "204775_at" "ENSG00000159259"
"204786_s_at.593" "204786_s_at" "ENSG00000159110"
"204979_s_at.604" "204979_s_at" "ENSG00000185437"
"204994_at.615" "204994_at" "ENSG00000183486"
"205009_at.1" "205009_at" "ENSG00000160182"
"205102_at.1" "205102_at" "ENSG00000184012"
"205248_at.648" "205248_at" "ENSG00000142197"
"205379_at.659" "205379_at" "ENSG00000159231"
"205548_s_at.670" "205548_s_at" "ENSG00000154640"
"205549_at.1" "205549_at" "ENSG00000183036"
"205593_s_at.1" "205593_s_at" "ENSG00000160191"
"205663_at.703" "205663_at" "ENSG00000183570"
"205669_at.1" "205669_at" "ENSG00000154654"
"205708_s_at.725" "205708_s_at" "ENSG00000142185"
"206409_at.736" "206409_at" "ENSG00000156299"
"206558_at.747" "206558_at" "ENSG00000159263"
"206947_at.758" "206947_at" "ENSG00000183778"
"207242_s_at.1" "207242_s_at" "ENSG00000171189"
"207258_at.1" "207258_at" "ENSG00000184029"
"207267_s_at.814" "207267_s_at" "ENSG00000183145"
"207322_at.1" "207322_at" "ENSG00000205726"
"207449_s_at.847" "207449_s_at" "ENSG00000186866"
"207594_s_at.858" "207594_s_at" "ENSG00000159082"
"207638_at.869" "207638_at" "ENSG00000154646"
"207833_s_at.1" "207833_s_at" "ENSG00000159267"
"207881_at.1" "207881_at" "ENSG00000279365"
"207999_s_at.902" "207999_s_at" "ENSG00000197381"
"208073_x_at.1" "208073_x_at" "ENSG00000182670"
"208090_s_at.1" "208090_s_at" "ENSG00000160224"
"208129_x_at.1" "208129_x_at" "ENSG00000159216"
"208157_at.1" "208157_at" "ENSG00000159263"
"208370_s_at.981" "208370_s_at" "ENSG00000159200"
"208395_s_at.992" "208395_s_at" "ENSG00000142207"
"208514_at" "208514_at" "ENSG00000180509"
"209033_s_at.1083" "209033_s_at" "ENSG00000157540"
"209041_s_at.1" "209041_s_at" "ENSG00000184787"
"209042_s_at.1105" "209042_s_at" "ENSG00000184787"
"209081_s_at.1" "209081_s_at" "ENSG00000182871"
"209082_s_at.1127" "209082_s_at" "ENSG00000182871"
"209156_s_at.1138" "209156_s_at" "ENSG00000142173"
"209213_at.1149" "209213_at" "ENSG00000159228"
"209297_at.1160" "209297_at" "ENSG00000205726"
"209298_s_at.1171" "209298_s_at" "ENSG00000205726"
"209359_x_at.1203" "209359_x_at" "ENSG00000159216"
"209360_s_at.1214" "209360_s_at" "ENSG00000159216"
"209399_at.1" "209399_at" "ENSG00000159267"
"209412_at.1" "209412_at" "ENSG00000280433"
"209575_at.1256" "209575_at" "ENSG00000243646"
"209578_s_at.1267" "209578_s_at" "ENSG00000186866"
"209686_at.1278" "209686_at" "ENSG00000160307"
"209775_x_at.1" "209775_x_at" "ENSG00000173638"
"209776_s_at.1300" "209776_s_at" "ENSG00000173638"
