"probeID" "Ensembl"
"229" 229 "ENSG00000157551"
"406" 406 "ENSG00000166979"
"795" 795 "ENSG00000156273"
"825" 825 "ENSG00000159086"
"1135" 1135 "ENSG00000235123"
"1412" 1412 "ENSG00000180530"
"1449" 1449 "ENSG00000188992"
"1461" 1461 "ENSG00000160216"
"1494" 1494 "ENSG00000279365"
"1500" 1500 "ENSG00000160208"
"1552" 1552 "ENSG00000253954"
"1774" 1774 "ENSG00000156265"
"2032" 2032 "ENSG00000227456"
"2151" 2151 "ENSG00000157538"
"2224" 2224 "ENSG00000142149"
"2343" 2343 "ENSG00000215386"
"2353" 2353 "ENSG00000183145"
"2441" 2441 "ENSG00000160305"
"2623" 2623 "ENSG00000142185"
"2807" 2807 "ENSG00000160298"
"2822" 2822 "ENSG00000160284"
"2840" 2840 "ENSG00000205929"
"2874" 2874 "ENSG00000243927"
"2924" 2924 "ENSG00000237989"
"2925" 2925 "ENSG00000160255"
"2988" 2988 "ENSG00000142173"
"3099" 3099 "ENSG00000159212"
"3407" 3407 "ENSG00000183250"
"3455" 3455 "ENSG00000160299"
"3560" 3560 "ENSG00000223768"
"3723" 3723 "ENSG00000159082"
"3759" 3759 "ENSG00000142197"
"3992" 3992 "ENSG00000183255"
"4152" 4152 "ENSG00000212938"
"4328" 4328 "ENSG00000184385"
"4339" 4339 "ENSG00000198054"
"4363" 4363 "ENSG00000197381"
"4429" 4429 "ENSG00000154642"
"4484" 4484 "ENSG00000157542"
"4515" 4515 "ENSG00000159231"
"4579" 4579 "ENSG00000205581"
"4603" 4603 "ENSG00000142192"
"4712" 4712 "ENSG00000142168"
"4875" 4875 "ENSG00000236830"
"4916" 4916 "ENSG00000160193"
"5084" 5084 "ENSG00000141956"
"5127" 5127 "ENSG00000156299"
"5128" 5128 "ENSG00000160255"
"5302" 5302 "ENSG00000279390"
"5320" 5320 "ENSG00000261706"
"5371" 5371 "ENSG00000184787"
"5470" 5470 "ENSG00000160209"
"5629" 5629 "ENSG00000159259"
"5690" 5690 "ENSG00000182871"
"5849" 5849 "ENSG00000233300"
"6011" 6011 "ENSG00000160182"
"6074" 6074 "ENSG00000182240"
"6081" 6081 "ENSG00000224924"
"6145" 6145 "ENSG00000159147"
"6294" 6294 "ENSG00000275874"
"6568" 6568 "ENSG00000156253"
"6811" 6811 "ENSG00000240432"
"6819" 6819 "ENSG00000160255"
"6830" 6830 "ENSG00000185658"
"6970" 6970 "ENSG00000160255"
"7049" 7049 "ENSG00000217026"
"7212" 7212 "ENSG00000157617"
"7404" 7404 "ENSG00000159259"
"7642" 7642 "ENSG00000157557"
"7665" 7665 "ENSG00000215105"
"7685" 7685 "ENSG00000275993"
"7830" 7830 "ENSG00000184351"
"7871" 7871 "ENSG00000280594"
"7885" 7885 "ENSG00000182912"
"7941" 7941 "ENSG00000224905"
"8220" 8220 "ENSG00000160183"
"8897" 8897 "ENSG00000232884"
"8968" 8968 "ENSG00000157538"
"9229" 9229 "ENSG00000142149"
"9403" 9403 "ENSG00000205927"
"9673" 9673 "ENSG00000233316"
"9897" 9897 "ENSG00000215105"
"10114" 10114 "ENSG00000142173"
"10257" 10257 "ENSG00000159259"
"10332" 10332 "ENSG00000160209"
"10498" 10498 "ENSG00000182240"
"10522" 10522 "ENSG00000215386"
"10630" 10630 "ENSG00000155304"
"10712" 10712 "ENSG00000160233"
"10771" 10771 "ENSG00000157554"
"10809" 10809 "ENSG00000171189"
"10859" 10859 "ENSG00000141959"
"11020" 11020 "ENSG00000160299"
"11167" 11167 "ENSG00000224309"
"11602" 11602 "ENSG00000160185"
"11649" 11649 "ENSG00000159055"
"11701" 11701 "ENSG00000260583"
"11755" 11755 "ENSG00000142192"
"11779" 11779 "ENSG00000160255"
"11829" 11829 "ENSG00000221864"
"11849" 11849 "ENSG00000159259"
"11882" 11882 "ENSG00000142192"
"12052" 12052 "ENSG00000215447"
"12236" 12236 "ENSG00000184809"
"12391" 12391 "ENSG00000142207"
