"probeID" "Ensembl"
"200602_at.743" "200602_at" "ENSG00000142192"
"200642_at.1185" "200642_at" "ENSG00000142168"
"200677_at.4111" "200677_at" "ENSG00000183255"
"200739_s_at.4100" "200739_s_at" "ENSG00000184900"
"200740_s_at.4089" "200740_s_at" "ENSG00000184900"
"200873_s_at.1" "200873_s_at" "ENSG00000156261"
"200944_s_at.1" "200944_s_at" "ENSG00000205581"
"201085_s_at.1784" "201085_s_at" "ENSG00000159140"
"201086_x_at.1806" "201086_x_at" "ENSG00000159140"
"201102_s_at.3885" "201102_s_at" "ENSG00000141959"
"201201_at.3669" "201201_at" "ENSG00000160213"
"201328_at.2694" "201328_at" "ENSG00000157557"
"201329_s_at.2683" "201329_s_at" "ENSG00000157557"
"201642_at.1635" "201642_at" "ENSG00000159128"
"202086_at.3043" "202086_at" "ENSG00000157601"
"202098_s_at.4841" "202098_s_at" "ENSG00000160310"
"202245_at.4627" "202245_at" "ENSG00000160285"
"202325_s_at.1" "202325_s_at" "ENSG00000154723"
"202557_at.383" "202557_at" "ENSG00000155304"
"202558_s_at.394" "202558_s_at" "ENSG00000155304"
"202599_s_at.416" "202599_s_at" "ENSG00000180530"
"202600_s_at.426" "202600_s_at" "ENSG00000180530"
"202671_s_at.3614" "202671_s_at" "ENSG00000160209"
"202749_at.2825" "202749_at" "ENSG00000182093"
"202803_s_at.4122" "202803_s_at" "ENSG00000160255"
"203405_at.2705" "203405_at" "ENSG00000183527"
"203635_at.2456" "203635_at" "ENSG00000157538"
"203660_s_at.4742" "203660_s_at" "ENSG00000160299"
"203865_s_at.4243" "203865_s_at" "ENSG00000197381"
"203917_at.492" "203917_at" "ENSG00000154639"
"203993_x_at.1" "203993_x_at" "ENSG00000184441"
"204191_at.1593" "204191_at" "ENSG00000142166"
"204194_at.1072" "204194_at" "ENSG00000156273"
"204195_s_at.3430" "204195_s_at" "ENSG00000160199"
"204567_s_at.3202" "204567_s_at" "ENSG00000160179"
"204623_at.3213" "204623_at" "ENSG00000160180"
"204775_at.2271" "204775_at" "ENSG00000159259"
"204786_s_at.1527" "204786_s_at" "ENSG00000159110"
"204979_s_at.2843" "204979_s_at" "ENSG00000185437"
"204994_at.3031" "204994_at" "ENSG00000183486"
"205009_at.3233" "205009_at" "ENSG00000160182"
"205102_at.1" "205102_at" "ENSG00000184012"
"205248_at.2249" "205248_at" "ENSG00000142197"
"205379_at.2226" "205379_at" "ENSG00000159231"
"205548_s_at.526" "205548_s_at" "ENSG00000154640"
"205549_at.1" "205549_at" "ENSG00000183036"
"205593_s_at.3332" "205593_s_at" "ENSG00000160191"
"205663_at.4418" "205663_at" "ENSG00000183570"
"205669_at.624" "205669_at" "ENSG00000154654"
"205708_s_at.3994" "205708_s_at" "ENSG00000142185"
"206409_at.1174" "206409_at" "ENSG00000156299"
"206558_at.2325" "206558_at" "ENSG00000159263"
"206947_at.2854" "206947_at" "ENSG00000183778"
"207020_at.3581" "207020_at" "ENSG00000160207"
"207242_s_at.1116" "207242_s_at" "ENSG00000171189"
"207258_at.2555" "207258_at" "ENSG00000184029"
"207267_s_at.2357" "207267_s_at" "ENSG00000183145"
"207322_at.1889" "207322_at" "ENSG00000205726"
"207449_s_at.4276" "207449_s_at" "ENSG00000186866"
"207594_s_at.1405" "207594_s_at" "ENSG00000159082"
"207638_at.591" "207638_at" "ENSG00000154646"
"207833_s_at.2346" "207833_s_at" "ENSG00000159267"
"207881_at.2293" "207881_at" "ENSG00000279365"
"207999_s_at.4223" "207999_s_at" "ENSG00000197381"
"208073_x_at.2424" "208073_x_at" "ENSG00000182670"
"208090_s_at.3874" "208090_s_at" "ENSG00000160224"
"208129_x_at.2079" "208129_x_at" "ENSG00000159216"
"208157_at.2314" "208157_at" "ENSG00000159263"
"208370_s_at.2002" "208370_s_at" "ENSG00000159200"
"208395_s_at.1284" "208395_s_at" "ENSG00000142207"
"208514_at" "208514_at" "ENSG00000180509"
"208661_s_at.1" "208661_s_at" "ENSG00000182670"
"208662_s_at.1" "208662_s_at" "ENSG00000182670"
"208663_s_at.1" "208663_s_at" "ENSG00000182670"
"208664_s_at.1" "208664_s_at" "ENSG00000182670"
"209033_s_at.2511" "209033_s_at" "ENSG00000157540"
"209041_s_at.4056" "209041_s_at" "ENSG00000184787"
"209042_s_at.4045" "209042_s_at" "ENSG00000184787"
"209081_s_at.4330" "209081_s_at" "ENSG00000182871"
"209082_s_at.4341" "209082_s_at" "ENSG00000182871"
"209156_s_at.4528" "209156_s_at" "ENSG00000142173"
"209213_at.2215" "209213_at" "ENSG00000159228"
"209297_at.1860" "209297_at" "ENSG00000205726"
"209298_s_at.1850" "209298_s_at" "ENSG00000205726"
"209359_x_at.2081" "209359_x_at" "ENSG00000159216"
"209360_s_at.2068" "209360_s_at" "ENSG00000159216"
"209399_at.2336" "209399_at" "ENSG00000159267"
"209412_at.1" "209412_at" "ENSG00000280433"
"209575_at.1571" "209575_at" "ENSG00000243646"
"209578_s_at.4265" "209578_s_at" "ENSG00000186866"
"209686_at.4775" "209686_at" "ENSG00000160307"
"209775_x_at.4396" "209775_x_at" "ENSG00000173638"
"209776_s_at.4374" "209776_s_at" "ENSG00000173638"
"209777_s_at.4363" "209777_s_at" "ENSG00000173638"
"209979_at.4234" "209979_at" "ENSG00000197381"
"210005_at.1743" "210005_at" "ENSG00000159131"
"210119_at.2588" "210119_at" "ENSG00000157551"
"210188_at.1" "210188_at" "ENSG00000154727"
"210365_at.2122" "210365_at" "ENSG00000159216"
"210384_at.4797" "210384_at" "ENSG00000160310"
"210454_s_at.2544" "210454_s_at" "ENSG00000157542"
"210645_s_at.2423" "210645_s_at" "ENSG00000182670"
"210689_at.2282" "210689_at" "ENSG00000159261"
"210713_at" "210713_at" "ENSG00000205726"
"210805_x_at.2104" "210805_x_at" "ENSG00000159216"
"210818_s_at.1061" "210818_s_at" "ENSG00000156273"
"211018_at.4616" "211018_at" "ENSG00000160285"
"211019_s_at.4638" "211019_s_at" "ENSG00000160285"
"211065_x_at.3889" "211065_x_at" "ENSG00000141959"
"211079_s_at.2489" "211079_s_at" "ENSG00000157540"
"211113_s_at.3191" "211113_s_at" "ENSG00000160179"
"211180_x_at.2080" "211180_x_at" "ENSG00000159216"
"211181_x_at.1" "211181_x_at" "ENSG00000159216"
"211182_x_at.1" "211182_x_at" "ENSG00000159216"
"211277_x_at.1" "211277_x_at" "ENSG00000142192"
"211484_s_at.2930" "211484_s_at" "ENSG00000171587"
"211541_s_at.2500" "211541_s_at" "ENSG00000157540"
"211576_s_at.4352" "211576_s_at" "ENSG00000173638"
"211620_x_at.1" "211620_x_at" "ENSG00000159216"
"211626_x_at.2640" "211626_x_at" "ENSG00000157554"
"211689_s_at.3069" "211689_s_at" "ENSG00000184012"
"211806_s_at.2577" "211806_s_at" "ENSG00000157551"
"212091_s_at.4495" "212091_s_at" "ENSG00000142156"
"212269_s_at.4649" "212269_s_at" "ENSG00000160294"
"212378_at.1700" "212378_at" "ENSG00000159131"
"212379_at.1711" "212379_at" "ENSG00000159131"
"212844_at.3592" "212844_at" "ENSG00000160208"
"212846_at.3603" "212846_at" "ENSG00000160208"
"212875_s_at.3147" "212875_s_at" "ENSG00000157617"
"212937_s_at.4472" "212937_s_at" "ENSG00000142156"
"212938_at.4462" "212938_at" "ENSG00000142156"
"212940_at.4429" "212940_at" "ENSG00000142156"
"212944_at.1936" "212944_at" "ENSG00000198743"
"212990_at.1394" "212990_at" "ENSG00000159082"
"212996_s_at.1295" "212996_s_at" "ENSG00000142207"
"213000_at.2260" "213000_at" "ENSG00000159256"
"213134_x_at.525" "213134_x_at" "ENSG00000154640"
"213135_at.1163" "213135_at" "ENSG00000156299"
"213167_s_at.1925" "213167_s_at" "ENSG00000198743"
"213290_at.4517" "213290_at" "ENSG00000142173"
"213428_s_at.4506" "213428_s_at" "ENSG00000142156"
"213450_s_at" "213450_s_at" "ENSG00000277117"
"213538_at.1795" "213538_at" "ENSG00000159140"
"213541_s_at.2650" "213541_s_at" "ENSG00000157554"
"213824_at.1482" "213824_at" "ENSG00000205927"
"213825_at.1493" "213825_at" "ENSG00000205927"
"213989_x_at.2193" "213989_x_at" "ENSG00000185917"
"214476_at.3222" "214476_at" "ENSG00000160181"
"214598_at.1138" "214598_at" "ENSG00000156284"
"214611_at.1" "214611_at" "ENSG00000171189"
"214750_at.2974" "214750_at" "ENSG00000280109"
"214820_at.2749" "214820_at" "ENSG00000185658"
"214953_s_at.754" "214953_s_at" "ENSG00000142192"
"214988_s_at.1807" "214988_s_at" "ENSG00000159140"
"215219_at.2238" "215219_at" "ENSG00000142197"
"215234_at.2522" "215234_at" "ENSG00000157540"
"215253_s_at.2024" "215253_s_at" "ENSG00000159200"
"215254_at.2013" "215254_at" "ENSG00000159200"
"215529_x_at.1" "215529_x_at" "ENSG00000160305"
"215580_at.1" "215580_at" "ENSG00000160294"
"215581_s_at.4692" "215581_s_at" "ENSG00000160294"
"215596_s_at.929" "215596_s_at" "ENSG00000198862"
"216004_s_at.3441" "216004_s_at" "ENSG00000160199"
"216072_at.1" "216072_at" "ENSG00000230982"
"217263_x_at.2141" "217263_x_at" "ENSG00000159216"
"217269_s_at.602" "217269_s_at" "ENSG00000154646"
"217309_s_at.2467" "217309_s_at" "ENSG00000157538"
"217445_s_at.1725" "217445_s_at" "ENSG00000159131"
"217633_at" "217633_at" "ENSG00000142207"
"217867_x_at.2986" "217867_x_at" "ENSG00000182240"
"218018_at.3625" "218018_at" "ENSG00000160209"
"218019_s_at.3647" "218019_s_at" "ENSG00000160209"
"218377_s_at.962" "218377_s_at" "ENSG00000156253"
"218386_x_at.1006" "218386_x_at" "ENSG00000156256"
"218515_at.1427" "218515_at" "ENSG00000159086"
"218758_s_at.3680" "218758_s_at" "ENSG00000160214"
"218928_s_at.3299" "218928_s_at" "ENSG00000160190"
"219004_s_at.1273" "219004_s_at" "ENSG00000159055"
"219213_at.688" "219213_at" "ENSG00000154721"
