"probeID" "start" "CIGAR" "Ensembl"
"200602_at.743" "200602_at" 25880601 "25M" "ENSG00000142192"
"200602_at.744" "200602_at" 25880609 "25M" "ENSG00000142192"
"200602_at.745" "200602_at" 25880689 "25M" "ENSG00000142192"
"200602_at.746" "200602_at" 25880699 "25M" "ENSG00000142192"
"200602_at.747" "200602_at" 25880770 "25M" "ENSG00000142192"
"200602_at.748" "200602_at" 25880826 "25M" "ENSG00000142192"
"200602_at.749" "200602_at" 25880829 "25M" "ENSG00000142192"
"200602_at.750" "200602_at" 25880838 "25M" "ENSG00000142192"
"200602_at.751" "200602_at" 25880854 "25M" "ENSG00000142192"
"200602_at.752" "200602_at" 25880869 "25M" "ENSG00000142192"
"200602_at.753" "200602_at" 25880883 "25M" "ENSG00000142192"
"200642_at.1185" "200642_at" 31659794 "25M" "ENSG00000142168"
"200642_at.1186" "200642_at" 31659814 "25M" "ENSG00000142168"
"200642_at.1187" "200642_at" 31663834 "25M" "ENSG00000142168"
"200642_at.1188" "200642_at" 31666467 "25M" "ENSG00000142168"
"200642_at.1189" "200642_at" 31666514 "5M739N20M" "ENSG00000142168"
"200642_at.1190" "200642_at" 31667294 "25M" "ENSG00000142168"
"200642_at.1191" "200642_at" 31667322 "25M" "ENSG00000142168"
"200642_at.1192" "200642_at" 31667342 "25M" "ENSG00000142168"
"200642_at.1193" "200642_at" 31667363 "13M1095N12M" "ENSG00000142168"
"200642_at.1194" "200642_at" 31668531 "25M" "ENSG00000142168"
"200642_at.1195" "200642_at" 31668565 "25M" "ENSG00000142168"
"200677_at.4111" "200677_at" 44849716 "25M" "ENSG00000183255"
"200677_at.4112" "200677_at" 44849734 "25M" "ENSG00000183255"
"200677_at.4113" "200677_at" 44849758 "25M" "ENSG00000183255"
"200677_at.4114" "200677_at" 44849777 "25M" "ENSG00000183255"
"200677_at.4115" "200677_at" 44849795 "25M" "ENSG00000183255"
"200677_at.4116" "200677_at" 44849816 "25M" "ENSG00000183255"
"200677_at.4117" "200677_at" 44849969 "25M" "ENSG00000183255"
"200677_at.4118" "200677_at" 44849984 "25M" "ENSG00000183255"
"200677_at.4119" "200677_at" 44849997 "25M" "ENSG00000183255"
"200677_at.4120" "200677_at" 44850065 "25M" "ENSG00000183255"
"200677_at.4121" "200677_at" 44850122 "25M" "ENSG00000183255"
"200739_s_at.4100" "200739_s_at" 44806829 "25M" "ENSG00000184900"
"200739_s_at.4101" "200739_s_at" 44806867 "25M" "ENSG00000184900"
"200739_s_at.4102" "200739_s_at" 44806902 "25M" "ENSG00000184900"
"200739_s_at.4103" "200739_s_at" 44806950 "25M" "ENSG00000184900"
"200739_s_at.4104" "200739_s_at" 44807006 "25M" "ENSG00000184900"
"200739_s_at.4105" "200739_s_at" 44807039 "2M2006N23M" "ENSG00000184900"
"200739_s_at.4106" "200739_s_at" 44809075 "25M" "ENSG00000184900"
"200739_s_at.4107" "200739_s_at" 44809101 "18M4857N7M" "ENSG00000184900"
"200739_s_at.4108" "200739_s_at" 44813980 "25M" "ENSG00000184900"
"200739_s_at.4109" "200739_s_at" 44814025 "25M" "ENSG00000184900"
"200739_s_at.4110" "200739_s_at" 44814046 "25M" "ENSG00000184900"
"200740_s_at.4089" "200740_s_at" 44805681 "25M" "ENSG00000184900"
"200740_s_at.4090" "200740_s_at" 44805714 "25M" "ENSG00000184900"
"200740_s_at.4091" "200740_s_at" 44805728 "25M" "ENSG00000184900"
"200740_s_at.4092" "200740_s_at" 44805774 "25M" "ENSG00000184900"
"200740_s_at.4093" "200740_s_at" 44805789 "25M" "ENSG00000184900"
"200740_s_at.4094" "200740_s_at" 44805852 "25M" "ENSG00000184900"
"200740_s_at.4095" "200740_s_at" 44806013 "25M" "ENSG00000184900"
"200740_s_at.4096" "200740_s_at" 44806039 "25M" "ENSG00000184900"
"200740_s_at.4097" "200740_s_at" 44806116 "25M" "ENSG00000184900"
"200740_s_at.4098" "200740_s_at" 44806129 "25M" "ENSG00000184900"
"200740_s_at.4099" "200740_s_at" 44806151 "25M" "ENSG00000184900"
"10" "200818_at" 33907401 "25M" "ENSG00000241837"
"11" "200818_at" 33904001 "21M3319N4M" "ENSG00000241837"
"12" "200818_at" 33907449 "5M1628N20M" "ENSG00000241837"
"13" "200818_at" 33903625 "15M295N10M" "ENSG00000241837"
"14" "200818_at" 33909149 "25M" "ENSG00000241837"
"15" "200818_at" 33903986 "25M" "ENSG00000241837"
"16" "200818_at" 33903616 "24M295N1M" "ENSG00000241837"
"17" "200818_at" 33907372 "25M" "ENSG00000241837"
"18" "200818_at" 33907346 "25M" "ENSG00000241837"
"19" "200818_at" 33909179 "25M" "ENSG00000241837"
"20" "200818_at" 33907360 "25M" "ENSG00000241837"
"21" "200818_at" 33907449 "5M1628N20M" "ENSG00000249209"
"22" "200818_at" 33909179 "25M" "ENSG00000249209"
"23" "200818_at" 33909149 "25M" "ENSG00000249209"
"24" "200818_at" 33907401 "25M" "ENSG00000249209"
"25" "200818_at" 33907346 "25M" "ENSG00000249209"
"26" "200818_at" 33904001 "21M3319N4M" "ENSG00000249209"
"27" "200818_at" 33907372 "25M" "ENSG00000249209"
"28" "200818_at" 33907360 "25M" "ENSG00000249209"
"200873_s_at.1" "200873_s_at" 29056389 "25M" "ENSG00000156261"
"200873_s_at.2" "200873_s_at" 29056409 "25M" "ENSG00000156261"
"200873_s_at.3" "200873_s_at" 29056535 "18M3988N7M" "ENSG00000156261"
"200873_s_at.4" "200873_s_at" 29060560 "25M" "ENSG00000156261"
"200873_s_at.5" "200873_s_at" 29060573 "25M" "ENSG00000156261"
"200873_s_at.6" "200873_s_at" 29060599 "25M" "ENSG00000156261"
"200873_s_at.7" "200873_s_at" 29060616 "25M" "ENSG00000156261"
"200873_s_at.8" "200873_s_at" 29060645 "16M592N9M" "ENSG00000156261"
"200873_s_at.9" "200873_s_at" 29061401 "17M78N8M" "ENSG00000156261"
"1" "200943_at" 68887286 "25M" "ENSG00000072110"
"2" "200943_at" 68887295 "25M" "ENSG00000072110"
"200944_s_at.1" "200944_s_at" 39342402 "25M" "ENSG00000205581"
"200944_s_at.2" "200944_s_at" 39342480 "25M" "ENSG00000205581"
"200944_s_at.3" "200944_s_at" 39342499 "25M" "ENSG00000205581"
"200944_s_at.4" "200944_s_at" 39342510 "25M" "ENSG00000205581"
"200944_s_at.5" "200944_s_at" 39342553 "25M" "ENSG00000205581"
"200944_s_at.6" "200944_s_at" 39342632 "25M" "ENSG00000205581"
"200944_s_at.7" "200944_s_at" 39342642 "25M" "ENSG00000205581"
"200944_s_at.8" "200944_s_at" 39342649 "25M" "ENSG00000205581"
"201085_s_at.1784" "201085_s_at" 33554065 "25M" "ENSG00000159140"
"201085_s_at.1785" "201085_s_at" 33554076 "25M" "ENSG00000159140"
"201085_s_at.1786" "201085_s_at" 33554185 "25M" "ENSG00000159140"
"201085_s_at.1787" "201085_s_at" 33554200 "25M" "ENSG00000159140"
"201085_s_at.1788" "201085_s_at" 33554218 "25M" "ENSG00000159140"
"201085_s_at.1789" "201085_s_at" 33554362 "25M" "ENSG00000159140"
"201085_s_at.1790" "201085_s_at" 33554431 "25M" "ENSG00000159140"
"201085_s_at.1791" "201085_s_at" 33554457 "25M" "ENSG00000159140"
"201085_s_at.1792" "201085_s_at" 33554477 "25M" "ENSG00000159140"
"201085_s_at.1793" "201085_s_at" 33554512 "25M" "ENSG00000159140"
"201085_s_at.1794" "201085_s_at" 33554530 "25M" "ENSG00000159140"
"201086_x_at.1806" "201086_x_at" 33576892 "25M" "ENSG00000159140"
"201086_x_at.1808" "201086_x_at" 33576908 "25M" "ENSG00000159140"
"201086_x_at.1811" "201086_x_at" 33576941 "25M" "ENSG00000159140"
"201086_x_at.1812" "201086_x_at" 33576959 "25M" "ENSG00000159140"
"201086_x_at.1813" "201086_x_at" 33577006 "25M" "ENSG00000159140"
"201086_x_at.1814" "201086_x_at" 33577039 "25M" "ENSG00000159140"
"201086_x_at.1816" "201086_x_at" 33577097 "25M" "ENSG00000159140"
"201086_x_at.1818" "201086_x_at" 33577111 "25M" "ENSG00000159140"
"201086_x_at.1823" "201086_x_at" 33577321 "25M" "ENSG00000159140"
"201102_s_at.3885" "201102_s_at" 44326784 "25M" "ENSG00000141959"
"201102_s_at.3886" "201102_s_at" 44326795 "25M" "ENSG00000141959"
"201102_s_at.3887" "201102_s_at" 44326797 "25M" "ENSG00000141959"
"201102_s_at.3888" "201102_s_at" 44326803 "25M" "ENSG00000141959"
"201102_s_at.3890" "201102_s_at" 44326843 "25M" "ENSG00000141959"
"201102_s_at.3891" "201102_s_at" 44326845 "25M" "ENSG00000141959"
"201102_s_at.3897" "201102_s_at" 44327028 "25M" "ENSG00000141959"
"201102_s_at.3898" "201102_s_at" 44327073 "25M" "ENSG00000141959"
"201102_s_at.3901" "201102_s_at" 44327235 "25M" "ENSG00000141959"
"201102_s_at.3903" "201102_s_at" 44327239 "25M" "ENSG00000141959"
"201102_s_at.3904" "201102_s_at" 44327246 "25M" "ENSG00000141959"
"201201_at.3669" "201201_at" 43774125 "25M" "ENSG00000160213"
"201201_at.3670" "201201_at" 43774198 "25M" "ENSG00000160213"
"201201_at.3671" "201201_at" 43774235 "25M" "ENSG00000160213"
"201201_at.3672" "201201_at" 43774262 "25M" "ENSG00000160213"
"201201_at.3673" "201201_at" 43774282 "25M" "ENSG00000160213"
"201201_at.3674" "201201_at" 43774313 "18M327N7M" "ENSG00000160213"
"201201_at.3675" "201201_at" 43774659 "25M" "ENSG00000160213"
"201201_at.3676" "201201_at" 43774684 "25M" "ENSG00000160213"
