"probeID" "Ensembl"
"200602_at.1" "200602_at" "ENSG00000142192"
"200642_at.12" "200642_at" "ENSG00000142168"
"200677_at.23" "200677_at" "ENSG00000183255"
"200739_s_at.34" "200739_s_at" "ENSG00000184900"
"200740_s_at.45" "200740_s_at" "ENSG00000184900"
"200818_at.1" "200818_at" "ENSG00000241837"
"200818_at.2" "200818_at" "ENSG00000249209"
"200873_s_at.1" "200873_s_at" "ENSG00000156261"
"200943_at" "200943_at" "ENSG00000205581"
"200944_s_at" "200944_s_at" "ENSG00000205581"
"201085_s_at.228" "201085_s_at" "ENSG00000159140"
"201086_x_at.1" "201086_x_at" "ENSG00000159140"
"201102_s_at.254" "201102_s_at" "ENSG00000141959"
"201201_at.265" "201201_at" "ENSG00000160213"
"201328_at.276" "201328_at" "ENSG00000157557"
"201329_s_at.287" "201329_s_at" "ENSG00000157557"
"201642_at.1" "201642_at" "ENSG00000159128"
"202086_at.310" "202086_at" "ENSG00000157601"
"202098_s_at.1" "202098_s_at" "ENSG00000160310"
"202245_at.333" "202245_at" "ENSG00000160285"
"202325_s_at.1" "202325_s_at" "ENSG00000154723"
"202557_at.358" "202557_at" "ENSG00000155304"
"202558_s_at.369" "202558_s_at" "ENSG00000155304"
"202599_s_at.380" "202599_s_at" "ENSG00000180530"
"202600_s_at.391" "202600_s_at" "ENSG00000180530"
"202671_s_at.402" "202671_s_at" "ENSG00000160209"
"202749_at.1" "202749_at" "ENSG00000182093"
"202803_s_at.425" "202803_s_at" "ENSG00000160255"
"203405_at.1" "203405_at" "ENSG00000183527"
"203635_at.473" "203635_at" "ENSG00000157538"
"203660_s_at.484" "203660_s_at" "ENSG00000160299"
"203865_s_at.495" "203865_s_at" "ENSG00000197381"
"203917_at.1" "203917_at" "ENSG00000154639"
"203993_x_at.1" "203993_x_at" "ENSG00000184441"
"203994_s_at.1" "203994_s_at" "ENSG00000160226"
"203994_s_at.2" "203994_s_at" "ENSG00000241728"
"203995_at.1" "203995_at" "ENSG00000160226"
"203995_at.2" "203995_at" "ENSG00000241728"
"203996_s_at.1" "203996_s_at" "ENSG00000241728"
"203996_s_at.2" "203996_s_at" "ENSG00000160226"
"204191_at.591" "204191_at" "ENSG00000142166"
"204194_at.602" "204194_at" "ENSG00000156273"
"204195_s_at.1" "204195_s_at" "ENSG00000160199"
"204196_x_at.1" "204196_x_at" "ENSG00000160199"
"204567_s_at.654" "204567_s_at" "ENSG00000160179"
"204623_at.1" "204623_at" "ENSG00000160180"
"204775_at.1" "204775_at" "ENSG00000159259"
"204785_x_at.2" "204785_x_at" "ENSG00000249624"
"204786_s_at.729" "204786_s_at" "ENSG00000159110"
"204979_s_at.740" "204979_s_at" "ENSG00000185437"
"204994_at.751" "204994_at" "ENSG00000183486"
"205009_at.762" "205009_at" "ENSG00000160182"
"205102_at.785" "205102_at" "ENSG00000140090"
"205248_at.791" "205248_at" "ENSG00000142197"
"205379_at.802" "205379_at" "ENSG00000159231"
"205548_s_at.813" "205548_s_at" "ENSG00000154640"
"205549_at.1" "205549_at" "ENSG00000183036"
"205593_s_at.1" "205593_s_at" "ENSG00000160191"
"205663_at.848" "205663_at" "ENSG00000183570"
"205669_at.1" "205669_at" "ENSG00000154654"
"205708_s_at.871" "205708_s_at" "ENSG00000142185"
"206409_at.882" "206409_at" "ENSG00000156299"
"206558_at.893" "206558_at" "ENSG00000159263"
"206947_at.904" "206947_at" "ENSG00000183778"
"207242_s_at.937" "207242_s_at" "ENSG00000171189"
"207258_at.1" "207258_at" "ENSG00000184029"
"207267_s_at.960" "207267_s_at" "ENSG00000183145"
"207322_at.1" "207322_at" "ENSG00000205726"
"207449_s_at.993" "207449_s_at" "ENSG00000186866"
"207594_s_at.1004" "207594_s_at" "ENSG00000159082"
"207638_at.1015" "207638_at" "ENSG00000154646"
"207833_s_at.1" "207833_s_at" "ENSG00000159267"
"207881_at.1038" "207881_at" "ENSG00000279365"
"207999_s_at.1049" "207999_s_at" "ENSG00000197381"
"208073_x_at.1" "208073_x_at" "ENSG00000182670"
"208090_s_at.1073" "208090_s_at" "ENSG00000160224"
"208129_x_at.1" "208129_x_at" "ENSG00000159216"
"208157_at.1097" "208157_at" "ENSG00000159263"
"208370_s_at.1130" "208370_s_at" "ENSG00000159200"
"208395_s_at.1141" "208395_s_at" "ENSG00000142207"
"208514_at" "208514_at" "ENSG00000180509"
"208661_s_at" "208661_s_at" "ENSG00000182670"
"208662_s_at.1" "208662_s_at" "ENSG00000182670"
"208663_s_at.1" "208663_s_at" "ENSG00000182670"
"208664_s_at.1" "208664_s_at" "ENSG00000182670"
"209033_s_at.1240" "209033_s_at" "ENSG00000157540"
"209041_s_at.1251" "209041_s_at" "ENSG00000184787"
"209042_s_at.1262" "209042_s_at" "ENSG00000184787"
"209081_s_at.1273" "209081_s_at" "ENSG00000182871"
"209082_s_at.1284" "209082_s_at" "ENSG00000182871"
"209156_s_at.1295" "209156_s_at" "ENSG00000142173"
"209213_at.1306" "209213_at" "ENSG00000159228"
"209297_at.1317" "209297_at" "ENSG00000205726"
"209298_s_at.1328" "209298_s_at" "ENSG00000205726"
"209359_x_at.1361" "209359_x_at" "ENSG00000159216"
"209360_s_at.1372" "209360_s_at" "ENSG00000159216"
"209399_at.1" "209399_at" "ENSG00000159267"
"209412_at.1" "209412_at" "ENSG00000280433"
"209575_at.1419" "209575_at" "ENSG00000243646"
"209578_s_at.1430" "209578_s_at" "ENSG00000186866"
"209686_at.1" "209686_at" "ENSG00000160307"
"209775_x_at.1453" "209775_x_at" "ENSG00000173638"
"209776_s_at.1464" "209776_s_at" "ENSG00000173638"
"209777_s_at.1475" "209777_s_at" "ENSG00000173638"
"209979_at.1" "209979_at" "ENSG00000197381"
"210005_at.1" "210005_at" "ENSG00000159131"
"210119_at.1513" "210119_at" "ENSG00000157551"
"210188_at.1" "210188_at" "ENSG00000154727"
"210365_at.1564" "210365_at" "ENSG00000159216"
"210384_at.1575" "210384_at" "ENSG00000160310"
"210454_s_at.1597" "210454_s_at" "ENSG00000157542"
"210645_s_at.1" "210645_s_at" "ENSG00000182670"
"210689_at.1620" "210689_at" "ENSG00000159261"
"210805_x_at.1653" "210805_x_at" "ENSG00000159216"
"210818_s_at.1664" "210818_s_at" "ENSG00000156273"
"211018_at.1675" "211018_at" "ENSG00000160285"
"211019_s_at.1" "211019_s_at" "ENSG00000160285"
"211065_x_at.1698" "211065_x_at" "ENSG00000141959"
"211079_s_at.1709" "211079_s_at" "ENSG00000157540"
"211113_s_at.1720" "211113_s_at" "ENSG00000160179"
"211180_x_at.1754" "211180_x_at" "ENSG00000159216"
"211181_x_at.1" "211181_x_at" "ENSG00000159216"
"211182_x_at.1" "211182_x_at" "ENSG00000159216"
"211277_x_at.1" "211277_x_at" "ENSG00000142192"
"211484_s_at.1885" "211484_s_at" "ENSG00000171587"
"211541_s_at.1896" "211541_s_at" "ENSG00000157540"
"211576_s_at.1907" "211576_s_at" "ENSG00000173638"
"211620_x_at.1" "211620_x_at" "ENSG00000159216"
"211626_x_at.1" "211626_x_at" "ENSG00000157554"
"211689_s_at.1943" "211689_s_at" "ENSG00000184012"
"211806_s_at.1954" "211806_s_at" "ENSG00000157551"
"212091_s_at.1965" "212091_s_at" "ENSG00000142156"
"212269_s_at.1976" "212269_s_at" "ENSG00000160294"
"212378_at.1987" "212378_at" "ENSG00000159131"
"212379_at.1" "212379_at" "ENSG00000159131"
"212844_at.2032" "212844_at" "ENSG00000160208"
"212846_at.2043" "212846_at" "ENSG00000160208"
"212875_s_at.2054" "212875_s_at" "ENSG00000157617"
"212937_s_at.2065" "212937_s_at" "ENSG00000142156"
"212938_at.2076" "212938_at" "ENSG00000142156"
"212940_at.1" "212940_at" "ENSG00000142156"
"212944_at.1" "212944_at" "ENSG00000198743"
"212990_at.2126" "212990_at" "ENSG00000159082"
"212996_s_at.2137" "212996_s_at" "ENSG00000142207"
"213000_at.2148" "213000_at" "ENSG00000159256"
"213134_x_at.2159" "213134_x_at" "ENSG00000154640"
"213135_at.2170" "213135_at" "ENSG00000156299"
"213167_s_at.2181" "213167_s_at" "ENSG00000198743"
"213290_at.2192" "213290_at" "ENSG00000142173"
"213428_s_at.2203" "213428_s_at" "ENSG00000142156"
"213450_s_at" "213450_s_at" "ENSG00000277117"
"213538_at.2235" "213538_at" "ENSG00000159140"
"213541_s_at.2246" "213541_s_at" "ENSG00000157554"
"213824_at.2257" "213824_at" "ENSG00000205927"
"213825_at.2268" "213825_at" "ENSG00000205927"
"213989_x_at.2279" "213989_x_at" "ENSG00000185917"
"214476_at.1" "214476_at" "ENSG00000160181"
"214598_at.2334" "214598_at" "ENSG00000156284"
"214611_at.1" "214611_at" "ENSG00000171189"
"214750_at.2358" "214750_at" "ENSG00000280109"
"214820_at.1" "214820_at" "ENSG00000185658"
"214953_s_at.2383" "214953_s_at" "ENSG00000142192"
"214988_s_at.1" "214988_s_at" "ENSG00000159140"
"215219_at.2410" "215219_at" "ENSG00000142197"
"215234_at.2421" "215234_at" "ENSG00000157540"
"215253_s_at.2432" "215253_s_at" "ENSG00000159200"
"215254_at.2443" "215254_at" "ENSG00000159200"
"215529_x_at.1" "215529_x_at" "ENSG00000160305"
"215580_at.1" "215580_at" "ENSG00000160294"
"215581_s_at.2505" "215581_s_at" "ENSG00000160294"
"215596_s_at.2530" "215596_s_at" "ENSG00000198862"
"216004_s_at.2541" "216004_s_at" "ENSG00000160199"
"216072_at.1" "216072_at" "ENSG00000230982"
"216954_x_at.2580" "216954_x_at" "ENSG00000241837"
"216954_x_at.2595" "216954_x_at" "ENSG00000198786"
"217263_x_at.1" "217263_x_at" "ENSG00000159216"
"217269_s_at.2620" "217269_s_at" "ENSG00000154646"
"217309_s_at.2631" "217309_s_at" "ENSG00000157538"
"217445_s_at.2642" "217445_s_at" "ENSG00000159131"
"217633_at" "217633_at" "ENSG00000142207"
"217867_x_at.2664" "217867_x_at" "ENSG00000182240"
"218018_at.2675" "218018_at" "ENSG00000160209"
"218019_s_at.2686" "218019_s_at" "ENSG00000160209"
"218123_at.2" "218123_at" "ENSG00000265590"
"218377_s_at.2708" "218377_s_at" "ENSG00000156253"
"218386_x_at.2719" "218386_x_at" "ENSG00000156256"
"218515_at.2730" "218515_at" "ENSG00000159086"
"218558_s_at.2749" "218558_s_at" "ENSG00000250669"
"218758_s_at.2756" "218758_s_at" "ENSG00000160214"
"218928_s_at.2767" "218928_s_at" "ENSG00000160190"
"219004_s_at.1" "219004_s_at" "ENSG00000159055"
"219213_at.2790" "219213_at" "ENSG00000154721"
"219280_at.2801" "219280_at" "ENSG00000185658"
"219482_at.2812" "219482_at" "ENSG00000185917"
"219535_at.2823" "219535_at" "ENSG00000142149"
"219600_s_at.1" "219600_s_at" "ENSG00000142188"
"219723_x_at.1" "219723_x_at" "ENSG00000160216"
"219767_s_at.1" "219767_s_at" "ENSG00000205758"
"219867_at.2878" "219867_at" "ENSG00000154645"
"219935_at.2889" "219935_at" "ENSG00000154736"
"220139_at.1" "220139_at" "ENSG00000142182"
"220177_s_at.2920" "220177_s_at" "ENSG00000160183"
"220205_at.1" "220205_at" "ENSG00000273840"
"220205_at.2" "220205_at" "ENSG00000274391"
"220311_at.1" "220311_at" "ENSG00000156239"
"220330_s_at.2957" "220330_s_at" "ENSG00000155307"
"220372_at.2968" "220372_at" "ENSG00000177692"
