"probeID" "start" "CIGAR" "Ensembl"
"200602_at.1" "200602_at" 25880883 "25M" "ENSG00000142192"
"200602_at.2" "200602_at" 25880869 "25M" "ENSG00000142192"
"200602_at.3" "200602_at" 25880854 "25M" "ENSG00000142192"
"200602_at.4" "200602_at" 25880838 "25M" "ENSG00000142192"
"200602_at.5" "200602_at" 25880829 "25M" "ENSG00000142192"
"200602_at.6" "200602_at" 25880826 "25M" "ENSG00000142192"
"200602_at.7" "200602_at" 25880770 "25M" "ENSG00000142192"
"200602_at.8" "200602_at" 25880699 "25M" "ENSG00000142192"
"200602_at.9" "200602_at" 25880689 "25M" "ENSG00000142192"
"200602_at.10" "200602_at" 25880609 "25M" "ENSG00000142192"
"200602_at.11" "200602_at" 25880601 "25M" "ENSG00000142192"
"200677_at.25" "200677_at" 44850122 "25M" "ENSG00000183255"
"200677_at.26" "200677_at" 44850065 "25M" "ENSG00000183255"
"200677_at.27" "200677_at" 44849997 "25M" "ENSG00000183255"
"200677_at.28" "200677_at" 44849984 "25M" "ENSG00000183255"
"200677_at.29" "200677_at" 44849969 "25M" "ENSG00000183255"
"200677_at.30" "200677_at" 44849816 "25M" "ENSG00000183255"
"200677_at.31" "200677_at" 44849795 "25M" "ENSG00000183255"
"200677_at.32" "200677_at" 44849777 "25M" "ENSG00000183255"
"200677_at.33" "200677_at" 44849758 "25M" "ENSG00000183255"
"200677_at.34" "200677_at" 44849734 "25M" "ENSG00000183255"
"200677_at.35" "200677_at" 44849716 "25M" "ENSG00000183255"
"200739_s_at.1" "200739_s_at" 44814046 "25M" "ENSG00000184900"
"200739_s_at.2" "200739_s_at" 44814025 "25M" "ENSG00000184900"
"200739_s_at.3" "200739_s_at" 44813980 "25M" "ENSG00000184900"
"200739_s_at.4" "200739_s_at" 44809075 "25M" "ENSG00000184900"
"200739_s_at.5" "200739_s_at" 44809045 "25M" "ENSG00000184900"
"200739_s_at.6" "200739_s_at" 44807006 "25M" "ENSG00000184900"
"200739_s_at.7" "200739_s_at" 44806950 "25M" "ENSG00000184900"
"200739_s_at.8" "200739_s_at" 44806902 "25M" "ENSG00000184900"
"200739_s_at.9" "200739_s_at" 44806867 "25M" "ENSG00000184900"
"200739_s_at.10" "200739_s_at" 44806829 "25M" "ENSG00000184900"
"200740_s_at.47" "200740_s_at" 44806151 "25M" "ENSG00000184900"
"200740_s_at.48" "200740_s_at" 44806129 "25M" "ENSG00000184900"
