"probeID" "start" "CIGAR" "Ensembl"
"20398" 20398 28928508 "50M" "ENSG00000198862"
"20544" 20544 33504159 "50M" "ENSG00000159131"
"50280" 50280 32574578 "50M" "ENSG00000186842"
"50678" 50678 42724589 "4S46M" "ENSG00000160191"
"70368" 70368 16607039 "50M" "ENSG00000215386"
"70471" 70471 46301639 "50M" "ENSG00000160298"
"110270" 110270 46235241 "50M" "ENSG00000160294"
"130039" 130039 28022794 "50M" "ENSG00000178457"
"130324" 130324 41464877 "50M" "ENSG00000184012"
"150315" 150315 29175574 "50M" "ENSG00000156265"
"150377" 150377 39662237 "50M" "ENSG00000183778"
"160593" 160593 32268881 "50M" "ENSG00000159055"
"240156" 240156 36375150 "50M" "ENSG00000159256"
"270053" 270053 25771070 "50M" "ENSG00000154727"
"290343" 290343 37202859 "50M" "ENSG00000182670"
"290762" 290762 13979929 "50M" "ENSG00000215559"
"360301" 360301 30337499 "50M" "ENSG00000206107"
"360725" 360725 44550724 "50M" "ENSG00000205445"
"430338" 430338 41688361 "50M" "ENSG00000227702"
"430564" 430564 33491106 "50M" "ENSG00000177692"
"450397" 450397 33264305 "50M" "ENSG00000159110"
"460326" 460326 30440668 "50M" "ENSG00000186970"
"460593" 460593 42216118 "50M" "ENSG00000160179"
"520368" 520368 30282252 "50M" "ENSG00000188694"
"540148" 540148 42382083 "50M" "ENSG00000160183"
"610048" 610048 30755213 "50M" "ENSG00000187005"
"610156" 610156 25771918 "50M" "ENSG00000154727"
"610537" 610537 25386159 "50M" "ENSG00000185433"
"610554" 610554 15879728 "50M" "ENSG00000155313"
"610561" 610561 29182187 "45M5S" "ENSG00000224649"
"620064" 620064 43983682 "50M" "ENSG00000160216"
"620131" 620131 44579688 "50M" "ENSG00000241123"
"620239" 620239 34526770 "50M" "ENSG00000159200"
"620327" 620327 46546017 "50M" "ENSG00000160305"
"620440" 620440 44940168 "19M3497N31M" "ENSG00000160256"
"650020" 650020 32628790 "50M" "ENSG00000159082"
"650110" 650110 25891779 "50M" "ENSG00000142192"
"15" 650278 154400332 "50M" "ENSG00000147403"
"16" 650278 154400332 "50M" "ENSG00000207165"
"650343" 650343 32021083 "50M" "ENSG00000237138"
"19" 670309 30541731 "50M" "ENSG00000186925"
"780093" 780093 44550847 "50M" "ENSG00000205445"
"830563" 830563 42775341 "50M" "ENSG00000160191"
"840278" 840278 25706005 "50M" "ENSG00000154721"
"840661" 840661 30289410 "50M" "ENSG00000232263"
"870161" 870161 17566506 "50M" "ENSG00000154639"
"940484" 940484 42390177 "50M" "ENSG00000160183"
"940500" 940500 36466367 "50M" "ENSG00000159261"
"990056" 990056 31671554 "50M" "ENSG00000156304"
"990435" 990435 46549957 "50M" "ENSG00000160305"
"990725" 990725 33578381 "50M" "ENSG00000159147"
"1010168" 1010168 39178454 "50M" "ENSG00000183527"
"1010170" 1010170 29326968 "50M" "ENSG00000156273"
"1010600" 1010600 44458517 "50M" "ENSG00000160233"
"1030068" 1030068 44697959 "50M" "ENSG00000189169"
"1030632" 1030632 26466474 "50M" "ENSG00000166265"
"1050215" 1050215 38301570 "50M" "ENSG00000157551"
"1050553" 1050553 39185504 "50M" "ENSG00000185658"
"1070010" 1070010 32306667 "50M" "ENSG00000170262"
"1090112" 1090112 46296216 "15M1308N35M" "ENSG00000182362"
"1090358" 1090358 30371549 "50M" "ENSG00000182816"
"1110017" 1110017 33560354 "50M" "ENSG00000159140"
"1110292" 1110292 43867278 "50M" "ENSG00000160216"
"1110349" 1110349 46291344 "50M" "ENSG00000182362"
"1170598" 1170598 18269821 "50M" "ENSG00000154646"
"1190100" 1190100 13527699 "50M" "ENSG00000228184"
"1190563" 1190563 30561104 "50M" "ENSG00000244362"
"1190576" 1190576 39662639 "50M" "ENSG00000183778"
"1190735" 1190735 25997366 "50M" "ENSG00000142192"
"1230280" 1230280 28872265 "50M" "ENSG00000156239"
"1230672" 1230672 42363315 "50M" "ENSG00000160182"
"1240201" 1240201 41275656 "50M" "ENSG00000182240"
"1260370" 1260370 29555192 "50M" "ENSG00000171189"
"1300202" 1300202 40075080 "50M" "ENSG00000171587"
"1340328" 1340328 38154454 "50M" "ENSG00000198054"
"1340717" 1340717 29053853 "50M" "ENSG00000156256"
"1400315" 1400315 31120224 "50M" "ENSG00000156299"
"1410181" 1410181 14485999 "50M" "ENSG00000155307"
"1410189" 1410189 29006077 "50M" "ENSG00000156253"
"1430187" 1430187 43774670 "50M" "ENSG00000160213"
"1430484" 1430484 13954095 "50M" "ENSG00000215559"
"1450451" 1450451 36293451 "50M" "ENSG00000142197"
"1470093" 1470093 13932366 "9M3140N41M" "ENSG00000215559"
"1470392" 1470392 46664396 "50M" "ENSG00000160310"
"1470414" 1470414 42142794 "50M" "ENSG00000177398"
"1470431" 1470431 42772504 "17M2759N33M" "ENSG00000160191"
"1500044" 1500044 14371663 "50M" "ENSG00000155304"
"1500390" 1500390 46161530 "50M" "ENSG00000160284"
"1510014" 1510014 46445554 "50M" "ENSG00000160299"
"1510441" 1510441 36743396 "50M" "ENSG00000159263"
"1580156" 1580156 19303484 "50M" "ENSG00000231620"
"1660551" 1660551 34097023 "50M" "ENSG00000198743"
"1690066" 1690066 41459124 "50M" "ENSG00000157601"
"1710228" 1710228 37063389 "50M" "ENSG00000185808"
"1740201" 1740201 25371981 "50M" "ENSG00000279534"
"1740521" 1740521 14227666 "50M" "ENSG00000185272"
"1770039" 1770039 39127885 "50M" "ENSG00000228861"
"1770209" 1770209 30487260 "50M" "ENSG00000186965"
"1780142" 1780142 34614826 "50M" "ENSG00000159200"
"1780360" 1780360 32960195 "50M" "ENSG00000228961"
"1820132" 1820132 17448900 "50M" "ENSG00000232560"
"1820703" 1820703 37073007 "50M" "ENSG00000185808"
"1850114" 1850114 36751178 "50M" "ENSG00000159267"
"1940220" 1940220 30501893 "50M" "ENSG00000186977"
"1980091" 1980091 26417942 "50M" "ENSG00000232692"
"1980598" 1980598 33028944 "50M" "ENSG00000205927"
"1990156" 1990156 33963765 "50M" "ENSG00000237945"
"2000093" 2000093 44297893 "50M" "ENSG00000160224"
"2030037" 2030037 30496972 "50M" "ENSG00000186967"
"2030403" 2030403 33072028 "50M" "ENSG00000184221"
"2060164" 2060164 41953652 "50M" "ENSG00000157617"
"2070079" 2070079 30747041 "50M" "ENSG00000187026"
"2070220" 2070220 46301163 "50M" "ENSG00000160298"
"2100537" 2100537 43033358 "50M" "ENSG00000160199"
"2120114" 2120114 37514470 "50M" "ENSG00000157540"
"2120204" 2120204 43903969 "50M" "ENSG00000160216"
"2120289" 2120289 41177229 "50M" "ENSG00000280109"
"2140463" 2140463 42581112 "50M" "ENSG00000160190"
"2190349" 2190349 38301174 "50M" "ENSG00000157551"
"2230014" 2230014 33491634 "50M" "ENSG00000177692"
"2230731" 2230731 41276437 "50M" "ENSG00000182240"
"2260110" 2260110 29553637 "50M" "ENSG00000171189"
"2260253" 2260253 29025718 "50M" "ENSG00000156256"
"2260528" 2260528 42697436 "50M" "ENSG00000160191"
"2260594" 2260594 44647194 "50M" "ENSG00000243489"
"2320228" 2320228 45224843 "50M" "ENSG00000197381"
"2320324" 2320324 32612392 "50M" "ENSG00000159079"
"2320685" 2320685 14615985 "32M26985N18M" "ENSG00000243440"
"2370202" 2370202 24887016 "50M" "ENSG00000227090"
"2370347" 2370347 38400577 "50M" "ENSG00000157554"
"2370368" 2370368 33572565 "50M" "ENSG00000159140"
"2450088" 2450088 17793195 "50M" "ENSG00000154642"
"2450136" 2450136 39179929 "50M" "ENSG00000183527"
"2480095" 2480095 42383051 "50M" "ENSG00000160183"
"2480112" 2480112 40012494 "50M" "ENSG00000171587"
