"probeID" "start" "CIGAR" "Ensembl"
"200602_at.1" "200602_at" 25880883 "25M" "ENSG00000142192"
"200602_at.2" "200602_at" 25880869 "25M" "ENSG00000142192"
"200602_at.3" "200602_at" 25880854 "25M" "ENSG00000142192"
"200602_at.4" "200602_at" 25880838 "25M" "ENSG00000142192"
"200602_at.5" "200602_at" 25880829 "25M" "ENSG00000142192"
"200602_at.6" "200602_at" 25880826 "25M" "ENSG00000142192"
"200602_at.7" "200602_at" 25880770 "25M" "ENSG00000142192"
"200602_at.8" "200602_at" 25880699 "25M" "ENSG00000142192"
"200602_at.9" "200602_at" 25880689 "25M" "ENSG00000142192"
"200602_at.10" "200602_at" 25880609 "25M" "ENSG00000142192"
"200602_at.11" "200602_at" 25880601 "25M" "ENSG00000142192"
"200642_at.1" "200642_at" 31663834 "25M" "ENSG00000142168"
"200642_at.2" "200642_at" 31666467 "25M" "ENSG00000142168"
"200642_at.3" "200642_at" 31667294 "25M" "ENSG00000142168"
"200642_at.4" "200642_at" 31667322 "25M" "ENSG00000142168"
"200642_at.5" "200642_at" 31667342 "25M" "ENSG00000142168"
"200642_at.6" "200642_at" 31659794 "25M" "ENSG00000142168"
"200642_at.7" "200642_at" 31668531 "25M" "ENSG00000142168"
"200642_at.8" "200642_at" 31668565 "25M" "ENSG00000142168"
"200642_at.9" "200642_at" 31659814 "25M" "ENSG00000142168"
"200677_at.1" "200677_at" 44850122 "25M" "ENSG00000183255"
"200677_at.2" "200677_at" 44850065 "25M" "ENSG00000183255"
"200677_at.3" "200677_at" 44849997 "25M" "ENSG00000183255"
"200677_at.4" "200677_at" 44849984 "25M" "ENSG00000183255"
"200677_at.5" "200677_at" 44849969 "25M" "ENSG00000183255"
"200677_at.6" "200677_at" 44849795 "25M" "ENSG00000183255"
"200677_at.7" "200677_at" 44849777 "25M" "ENSG00000183255"
"200677_at.8" "200677_at" 44849758 "25M" "ENSG00000183255"
"200677_at.9" "200677_at" 44849734 "25M" "ENSG00000183255"
"200677_at.10" "200677_at" 44849716 "25M" "ENSG00000183255"
"200739_s_at.1" "200739_s_at" 44814046 "25M" "ENSG00000184900"
"200739_s_at.2" "200739_s_at" 44814025 "25M" "ENSG00000184900"
"200739_s_at.3" "200739_s_at" 44813980 "25M" "ENSG00000184900"
"200739_s_at.4" "200739_s_at" 44809075 "25M" "ENSG00000184900"
