"probeID" "start" "CIGAR" "Ensembl"
"200602_at.1" "200602_at" 25880883 "25M" "ENSG00000142192"
"200602_at.2" "200602_at" 25880869 "25M" "ENSG00000142192"
"200602_at.3" "200602_at" 25880854 "25M" "ENSG00000142192"
"200602_at.4" "200602_at" 25880838 "25M" "ENSG00000142192"
"200602_at.5" "200602_at" 25880829 "25M" "ENSG00000142192"
"200602_at.6" "200602_at" 25880826 "25M" "ENSG00000142192"
"200602_at.7" "200602_at" 25880770 "25M" "ENSG00000142192"
"200602_at.8" "200602_at" 25880699 "25M" "ENSG00000142192"
"200602_at.9" "200602_at" 25880689 "25M" "ENSG00000142192"
"200602_at.10" "200602_at" 25880609 "25M" "ENSG00000142192"
"200602_at.11" "200602_at" 25880601 "25M" "ENSG00000142192"
"200642_at.12" "200642_at" 31663834 "25M" "ENSG00000142168"
"200642_at.13" "200642_at" 31666467 "25M" "ENSG00000142168"
"200642_at.14" "200642_at" 31666514 "5M739N20M" "ENSG00000142168"
"200642_at.15" "200642_at" 31667294 "25M" "ENSG00000142168"
"200642_at.16" "200642_at" 31667322 "25M" "ENSG00000142168"
"200642_at.17" "200642_at" 31667342 "25M" "ENSG00000142168"
"200642_at.18" "200642_at" 31667363 "13M1095N12M" "ENSG00000142168"
"200642_at.19" "200642_at" 31659794 "25M" "ENSG00000142168"
"200642_at.20" "200642_at" 31668531 "25M" "ENSG00000142168"
"200642_at.21" "200642_at" 31668565 "25M" "ENSG00000142168"
"200642_at.22" "200642_at" 31659814 "25M" "ENSG00000142168"
"200677_at.23" "200677_at" 44850122 "25M" "ENSG00000183255"
"200677_at.24" "200677_at" 44850065 "25M" "ENSG00000183255"
"200677_at.25" "200677_at" 44849997 "25M" "ENSG00000183255"
"200677_at.26" "200677_at" 44849984 "25M" "ENSG00000183255"
"200677_at.27" "200677_at" 44849969 "25M" "ENSG00000183255"
"200677_at.28" "200677_at" 44849816 "25M" "ENSG00000183255"
"200677_at.29" "200677_at" 44849795 "25M" "ENSG00000183255"
"200677_at.30" "200677_at" 44849777 "25M" "ENSG00000183255"
"200677_at.31" "200677_at" 44849758 "25M" "ENSG00000183255"
"200677_at.32" "200677_at" 44849734 "25M" "ENSG00000183255"
"200677_at.33" "200677_at" 44849716 "25M" "ENSG00000183255"
"200739_s_at.34" "200739_s_at" 44814046 "25M" "ENSG00000184900"
